\INPUT_FILE = /exodata/ETSS-prep/KELT/doN02/raw/KELT_N02_lc_000017_V01_east_raw.dat
\INPUT_TYPE = "RAW"
\START_DATE = "Thu Oct 26, 04:44:09 2006"               
\STOP_DATE = "Mon Nov 24, 04:44:47 2008"               
\fixlen = T
\NUMRECORDS = 1792     
\
\ This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu 
\ Thu Feb 25, 16:58:38 2016
\ Documentation for the KELT Survey dataset can be found at http://exoplanetarchive.ipac.caltech.edu/docs/KELT.html
\
|          TIME|     MAG|MAG_ERR|
|          real|    real|   real|
|             d|     mag|    mag|
|          null|    null|   null|
 2454066.645658 13.40700 0.00490 
 2454066.647762 13.41366 0.00488 
 2454066.652278 13.41914 0.00481 
 2454066.656802 13.43101 0.00539 
 2454066.661325 13.41165 0.00476 
 2454066.665849 13.43902 0.00667 
 2454066.670365 13.45087 0.00503 
 2454066.679406 13.39734 0.00578 
 2454066.683931 13.42635 0.00572 
 2454066.688452 13.43102 0.00620 
 2454066.692972 13.41884 0.00509 
 2454066.697497 13.43933 0.00454 
 2454066.702021 13.40518 0.00524 
 2454066.706547 13.42821 0.01049 
 2454077.579764 13.42169 0.00525 
 2454077.584281 13.42200 0.00510 
 2454077.588794 13.42416 0.00501 
 2454077.593309 13.41966 0.00506 
 2454077.597830 13.42732 0.00502 
 2454077.603194 13.43566 0.00546 
 2454077.613925 13.42667 0.00540 
 2454077.619287 13.42782 0.00516 
 2454077.621395 13.42422 0.00540 
 2454077.625912 13.41620 0.00524 
 2454077.630425 13.42369 0.00542 
 2454077.634939 13.42857 0.00569 
 2454077.639453 13.42671 0.00562 
 2454077.643967 13.41971 0.00575 
 2454077.648480 13.42325 0.00599 
 2454077.653002 13.42356 0.00611 
 2454077.657522 13.42243 0.00622 
 2454077.662044 13.42285 0.00602 
 2454077.666559 13.41755 0.00613 
 2454077.671072 13.42623 0.00623 
 2454077.675584 13.42285 0.00626 
 2454078.579757 13.42365 0.00515 
 2454078.584280 13.41526 0.00502 
 2454078.588798 13.41354 0.00511 
 2454078.593311 13.42601 0.00499 
 2454078.604034 13.42180 0.00511 
 2454078.609394 13.42619 0.00504 
 2454078.614762 13.42990 0.00488 
 2454078.616870 13.42587 0.00491 
 2454078.621392 13.42197 0.00501 
 2454078.625905 13.43665 0.00497 
 2454078.630419 13.42362 0.00479 
 2454078.634933 13.41466 0.00486 
 2454078.639446 13.44037 0.00503 
 2454078.643962 13.42732 0.00487 
 2454078.648475 13.42604 0.00479 
 2454078.652989 13.42258 0.00487 
 2454078.657502 13.41587 0.00490 
 2454078.662016 13.41902 0.00481 
