\INPUT_FILE = /exodata/ETSS-prep/KELT/doN02/raw/KELT_N02_lc_020425_V01_west_raw.dat
\INPUT_TYPE = "RAW"
\START_DATE = "Fri Oct 27, 07:06:26 2006"               
\STOP_DATE = "Mon Nov 24, 09:34:38 2008"               
\fixlen = T
\NUMRECORDS = 601      
\
\ This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu 
\ Thu Feb 25, 16:57:48 2016
\ Documentation for the KELT Survey dataset can be found at http://exoplanetarchive.ipac.caltech.edu/docs/KELT.html
\
|          TIME|     MAG|MAG_ERR|
|          real|    real|   real|
|             d|     mag|    mag|
|          null|    null|   null|
 2454749.942627 11.83803 0.00186 
 2454749.952799 11.78329 0.00186 
 2454749.962973 11.83202 0.00179 
 2454749.973141 11.86128 0.00182 
 2454749.985609 11.86770 0.00185 
 2454749.995604 11.91911 0.00259 
 2454750.005593 12.12031 0.00303 
 2454750.015579 11.90378 0.00188 
 2454758.836382 11.85585 0.00232 
 2454758.843551 11.85443 0.00232 
 2454758.850719 11.87701 0.00220 
 2454758.857884 11.86526 0.00226 
 2454758.865044 11.85921 0.00227 
 2454758.872204 11.86155 0.00228 
 2454758.879351 11.85705 0.00233 
 2454758.886418 11.86434 0.00231 
 2454758.891146 11.85311 0.00231 
 2454758.900600 11.85631 0.00225 
 2454758.921705 11.87466 0.00204 
 2454758.923912 11.86752 0.00208 
 2454758.926115 11.86865 0.00216 
 2454758.928322 11.86580 0.00221 
 2454758.930522 11.86708 0.00225 
 2454758.932724 11.86754 0.00226 
 2454758.934932 11.86496 0.00228 
 2454758.937137 11.85405 0.00227 
 2454758.939342 11.85995 0.00223 
 2454758.941543 11.85710 0.00220 
 2454758.943748 11.86075 0.00217 
 2454758.945947 11.85708 0.00216 
 2454758.948150 11.85752 0.00215 
 2454758.950352 11.86197 0.00213 
 2454758.952555 11.86810 0.00205 
 2454758.954760 11.87834 0.00208 
 2454758.959855 11.85162 0.00225 
 2454759.832185 11.84209 0.00215 
 2454759.839255 11.85789 0.00198 
 2454759.846312 11.87108 0.00193 
 2454759.853369 11.86685 0.00207 
 2454759.860426 11.86524 0.00211 
 2454759.867484 11.85833 0.00208 
 2454759.874542 11.84585 0.00207 
 2454759.881601 11.85200 0.00201 
 2454759.886312 11.86038 0.00203 
 2454759.891041 11.84872 0.00202 
 2454759.916829 11.88233 0.00208 
 2454759.919023 11.87834 0.00211 
 2454759.921230 11.86967 0.00213 
 2454759.923419 11.86314 0.00212 
 2454759.925629 11.85836 0.00212 
 2454759.927830 11.86718 0.00208 
 2454759.930021 11.86801 0.00206 
 2454759.932232 11.86377 0.00210 
 2454759.934423 11.86277 0.00216 
 2454759.936633 11.86586 0.00214 
 2454759.938835 11.87811 0.00210 
 2454759.941028 11.88708 0.00207 
 2454759.943238 11.88345 0.00211 
 2454759.945426 11.88167 0.00212 
 2454759.947637 11.87609 0.00213 
 2454759.949841 11.87147 0.00218 
 2454759.952034 11.86278 0.00217 
 2454759.954240 11.86449 0.00214 
 2454759.956432 11.86718 0.00211 
 2454759.958643 11.86718 0.00212 
 2454759.960845 11.87039 0.00210 
 2454759.963038 11.87769 0.00208 
 2454759.965246 11.88252 0.00203 
 2454759.967438 11.89308 0.00201 
 2454759.969649 11.89323 0.00197 
 2454759.971850 11.91178 0.00191 
 2454759.974047 11.90523 0.00194 
 2454759.976255 11.87580 0.00196 
 2454759.978445 11.85667 0.00203 
 2454759.980655 11.85355 0.00211 
 2454759.982856 11.85723 0.00219 
 2454760.828970 11.87585 0.00195 
 2454760.839132 11.85852 0.00213 
 2454760.849290 11.85903 0.00207 
 2454760.859454 11.83485 0.00205 
 2454760.869619 11.85181 0.00206 
 2454760.879783 11.85721 0.00206 
 2454760.912836 11.85195 0.00208 
 2454760.917559 11.85357 0.00201 
 2454760.922284 11.87613 0.00191 
 2454760.927010 11.86843 0.00198 
 2454760.931731 11.87674 0.00208 
 2454760.936452 11.86651 0.00203 
 2454760.941168 11.85763 0.00203 
 2454760.945885 11.86716 0.00192 
 2454760.950601 11.87177 0.00200 
 2454777.788205 11.81573 0.00202 
 2454777.800129 11.88289 0.00191 
 2454777.812060 11.87230 0.00196 
 2454777.823994 11.88516 0.00098 
 2454777.845588 11.84174 0.00262 
 2454777.894135 11.86426 0.00128 
 2454777.915896 11.87017 0.00157 
 2454777.935102 11.87155 0.00185 
 2454777.944695 11.87198 0.00193 
 2454778.778065 11.84111 0.00227 
 2454778.785702 11.84506 0.00218 
 2454778.793361 11.83071 0.00233 
 2454778.808645 11.59360 0.00212 
 2454778.826093 11.85126 0.00219 
 2454778.840931 11.78140 0.00213 
 2454778.848354 11.77028 0.00212 
 2454778.863188 11.85215 0.00216 
 2454779.776836 11.85131 0.00225 
 2454786.759329 11.75312 0.00236 
 2454786.766112 11.85866 0.00218 
 2454786.772896 11.87939 0.00210 
 2454786.779694 11.86989 0.00215 
 2454786.786478 11.86278 0.00222 
 2454786.793271 11.86113 0.00224 
 2454786.800061 11.86446 0.00227 
 2454786.806870 11.85348 0.00232 
 2454786.811415 11.84024 0.00240 
 2454786.815957 11.84090 0.00244 
 2454786.820506 11.84710 0.00243 
 2454786.825049 11.85889 0.00241 
 2454786.829579 11.85013 0.00237 
 2454786.834127 11.85012 0.00238 
 2454786.838672 11.85261 0.00247 
 2454786.843210 11.85530 0.00235 
 2454786.845312 11.84276 0.00231 
 2454786.847428 11.84295 0.00233 
 2454786.849541 11.82794 0.00231 
 2454786.851651 11.82752 0.00227 
 2454786.853764 11.85318 0.00236 
 2454786.855874 11.85753 0.00235 
 2454786.857990 11.86409 0.00236 
 2454786.860099 11.86554 0.00237 
 2454786.862208 11.86068 0.00240 
 2454786.864316 11.86527 0.00235 
 2454786.866432 11.86726 0.00233 
 2454786.868542 11.85684 0.00233 
 2454786.870655 11.86312 0.00231 
 2454786.872766 11.85922 0.00234 
 2454786.874879 11.86188 0.00235 
 2454786.876989 11.86748 0.00233 
 2454786.879104 11.87015 0.00233 
 2454786.881219 11.86332 0.00233 
 2454786.883335 11.85721 0.00241 
 2454786.885442 11.86270 0.00235 
 2454786.887552 11.86085 0.00241 
 2454786.889662 11.86349 0.00237 
 2454786.891777 11.86418 0.00240 
 2454786.893885 11.86655 0.00238 
 2454786.895990 11.86561 0.00235 
 2454786.898099 11.86071 0.00239 
 2454786.900212 11.87301 0.00239 
 2454786.902326 11.86031 0.00239 
 2454786.904441 11.86442 0.00234 
 2454786.906551 11.86418 0.00233 
 2454786.908661 11.86385 0.00234 
 2454786.910772 11.86723 0.00233 
 2454786.912882 11.86963 0.00232 
 2454786.917097 11.88581 0.00238 
 2454786.919207 11.89928 0.00233 
 2454787.755338 11.86642 0.00198 
 2454787.765136 11.86357 0.00219 
 2454787.774938 11.85745 0.00205 
 2454787.784756 12.44566 0.00210 
 2454787.804375 11.71974 0.00211 
 2454787.808917 11.87138 0.00213 
 2454787.813453 11.87539 0.00206 
 2454787.817993 11.86438 0.00220 
 2454787.822534 11.86041 0.00220 
 2454787.831623 11.87473 0.00218 
 2454787.843094 11.86869 0.00212 
 2454787.847629 11.85706 0.00205 
 2454787.852169 11.85540 0.00210 
 2454787.856716 11.87768 0.00213 
 2454787.861253 11.88520 0.00215 
 2454787.865793 11.87872 0.00212 
 2454787.870330 11.88400 0.00208 
 2454787.874870 11.84994 0.00205 
 2454787.879407 11.87283 0.00213 
 2454787.883956 11.88628 0.00213 
 2454787.888496 11.88701 0.00215 
 2454787.893043 11.87970 0.00212 
 2454787.897576 11.85323 0.00213 
 2454787.902121 11.84535 0.00212 
 2454787.906661 11.87373 0.00216 
 2454787.911205 11.86285 0.00219 
 2454787.915743 11.89058 0.00223 
 2454788.755449 11.85231 0.00201 
 2454788.765250 11.83943 0.00208 
 2454788.775055 11.72608 0.00200 
 2454788.794654 11.45517 0.00199 
 2454788.808996 11.88526 0.00206 
 2454788.813538 11.86904 0.00211 
 2454788.818070 11.85050 0.00213 
 2454788.822608 11.86819 0.00209 
 2454788.827150 11.86734 0.00209 
 2454788.836222 11.87320 0.00204 
 2454788.840762 11.86788 0.00200 
 2454788.845304 11.86677 0.00199 
 2454788.849853 11.85883 0.00203 
 2454788.854385 11.86705 0.00207 
 2454788.858931 11.87378 0.00209 
 2454788.863468 11.86475 0.00208 
 2454788.868010 11.87196 0.00202 
 2454788.872553 11.86766 0.00201 
 2454788.877099 11.85017 0.00200 
 2454788.881637 11.86890 0.00205 
 2454788.886181 11.87775 0.00207 
 2454788.890723 11.87597 0.00206 
 2454788.895264 11.87666 0.00204 
 2454788.899818 11.86574 0.00207 
 2454788.904360 11.87541 0.00206 
 2454788.908895 11.88802 0.00203 
 2454788.913430 11.86659 0.00203 
 2454789.754110 11.85227 0.00180 
 2454789.766079 11.84338 0.00188 
 2454789.778041 11.83140 0.00191 
 2454789.789988 11.80178 0.00192 
 2454789.801956 11.68157 0.00191 
 2454789.809373 11.74465 0.00196 
 2454789.831644 11.85870 0.00201 
 2454789.846950 11.73957 0.00200 
 2454789.854585 11.85643 0.00199 
 2454789.862234 11.85650 0.00206 
 2454789.869881 11.78973 0.00199 
 2454789.877527 11.85472 0.00201 
 2454789.882064 11.87697 0.00199 
 2454789.886602 11.87740 0.00199 
 2454789.891142 11.86570 0.00198 
 2454789.895680 11.86234 0.00201 
 2454789.900219 11.87835 0.00203 
 2454789.904765 11.86324 0.00202 
 2454789.911685 11.87714 0.00196 
 2454790.750743 11.86484 0.00184 
 2454790.762704 11.85626 0.00195 
 2454790.798579 11.85790 0.00196 
 2454790.835882 11.84045 0.00191 
 2454790.858813 11.84178 0.00201 
 2454790.866473 11.68664 0.00198 
 2454790.874105 11.86782 0.00194 
 2454790.878635 11.86013 0.00195 
 2454790.883177 11.87330 0.00190 
 2454790.887715 11.86928 0.00188 
 2454790.892253 11.87315 0.00186 
 2454790.896789 11.87415 0.00200 
 2454790.901313 11.87873 0.00191 
 2454790.908235 11.86048 0.00191 
 2454791.749116 11.85657 0.00185 
 2454791.761086 11.65603 0.00188 
 2454791.773037 11.77096 0.00183 
 2454791.784978 11.81075 0.00186 
 2454791.828055 11.86725 0.00193 
 2454791.847657 11.82104 0.00184 
 2454791.874688 11.83610 0.00190 
 2454791.882096 11.89672 0.00175 
 2454791.889512 11.86394 0.00206 
 2454791.896929 11.84006 0.00194 
 2454791.904346 11.84954 0.00193 
 2454792.757885 11.88925 0.00184 
 2454792.769829 11.90228 0.00145 
 2454792.781785 11.89204 0.00170 
 2454792.875863 12.06058 0.00195 
 2454792.885475 11.84169 0.00193 
 2454792.904719 11.91320 0.00159 
 2454793.777071 12.79179 0.00181 
 2454794.740211 11.86153 0.00181 
 2454794.752176 11.86859 0.00187 
 2454794.764138 11.85397 0.00186 
 2454794.776090 11.80802 0.00188 
 2454794.790295 11.69833 0.00179 
 2454794.809543 11.86206 0.00192 
 2454794.828960 11.63177 0.00184 
 2454794.838759 11.85896 0.00184 
 2454794.860584 11.86031 0.00208 
 2454794.870191 11.87983 0.00179 
 2454794.889436 11.89648 0.00187 
 2454794.899059 11.93240 0.00157 
