KOI Name,NExScI Disposition,Kepler Name,Period,Time of Transit Epoch,First Transit Time (BJD),Impact Parameter,Duration,Transit Depth,r/R,Fitted Stellar Density,Planet Radius,Semi-major Axis,Inclination,Teq,Insolation Flux,a/R,Limb Darkening Coeff1,Limb Darkening Coeff2,Limb Darkening Coeff3,Limb Darkening Coeff4,Teff,log(g),Metallicity,Stellar Radius,Stellar Mass,Max single event sigma,Max Multievent sigma,Transit Model SNR,KOI count,Transit Number,Time err1,Time err2,Period err1,Period err2,Depth err1,Depth err2,Duration err1,Duration err2,Impact Parameter err1,Impact Parameter err2,r/R err1,r/R err2,a/R err1,a/R err2,Planet Radius err1,Planet Radius err2,Teff err1,Teff err2,log(g) err1,log(g) err2,Metallicity err1,Metallicity err2,Stellar Radius err1,Stellar Radius err2,Stellar Mass err2,Stellar Mass err1,Insolation Flux err1,Insolation Flux err2,Fitted Stellar Density err1,Fitted Stellar Density err2
K07724.01,FALSE POSITIVE,,488.67352999999997,519.7805,2455352.78,0.43200000000000005,12.35,691.0,0.024,1.75341,2.03,1.1540000000000001,89.91,188.0,0.3,280.8,0.509,0.196,0.0,0.0,5218.0,4.596,-0.02,0.772,0.867,4.862,7.301,8.2,1,3,0.067,-0.067,0.059000000000000004,-0.059000000000000004,101.0,-101.0,2.5,-2.5,0.027000000000000003,-0.43200000000000005,0.001,-0.003,74.4,-74.4,0.32,-0.14,184.0,-166.0,0.026000000000000002,-0.10400000000000001,0.3,-0.3,0.122,-0.055999999999999994,-0.09300000000000001,0.07,0.16,-0.08,0.46486000000000005,-1.7255099999999999
K01589.01,CONFIRMED,Kepler-84 b,8.72585478,138.76838,2454971.768,0.9109999999999999,4.473,446.7,0.023,0.08514,2.86,0.083,82.52,985.0,222.19,7.0,0.345,0.292,0.0,0.0,6036.0,4.3260000000000005,-0.18,1.131,0.987,4.67,27.923000000000002,37.7,5,155,0.003,-0.003,2.992e-05,-2.992e-05,12.8,-12.8,0.066,-0.066,0.004,-0.63,0.000383,-0.003,3.3,-3.3,0.45,-0.4,120.0,-132.0,0.12,-0.12,0.15,-0.15,0.17600000000000002,-0.158,-0.064,0.07200000000000001,98.84,-71.67,0.81414,-0.00339
K01589.02,CONFIRMED,Kepler-84 c,12.88291395,135.18736,2454968.187,0.9620000000000001,5.676,460.5,0.026000000000000002,0.0277,3.15,0.107,81.13,865.0,132.23,6.24,0.345,0.292,0.0,0.0,6036.0,4.3260000000000005,-0.18,1.131,0.987,5.257000000000001,25.269000000000002,33.6,5,103,0.004,-0.004,6.888e-05,-6.888e-05,18.9,-18.9,0.59,-0.59,0.048,-0.565,0.000272,-0.006,3.1,-3.1,0.49,-0.44,120.0,-132.0,0.12,-0.12,0.15,-0.15,0.17600000000000002,-0.158,-0.064,0.07200000000000001,58.83,-42.65,0.8442700000000001,-0.018690000000000002
K01589.03,CONFIRMED,Kepler-84 e,27.4345973,145.12322,2454978.123,0.603,5.038,472.6,0.021,1.01206,2.56,0.177,88.99,672.0,48.29,34.3,0.345,0.292,0.0,0.0,6036.0,4.3260000000000005,-0.18,1.131,0.987,4.912,19.267,25.3,5,48,0.004,-0.004,0.0001317,-0.0001317,19.4,-19.4,0.121,-0.121,0.022000000000000002,-0.462,0.003,-0.000927,13.2,-13.2,0.4,-0.35,120.0,-132.0,0.12,-0.12,0.15,-0.15,0.17600000000000002,-0.158,-0.064,0.07200000000000001,21.48,-15.58,0.7770100000000001,-0.72068
K01589.04,CONFIRMED,Kepler-84 d,4.22453631,135.42908,2454968.429,0.823,3.128,159.1,0.013000000000000001,0.24686999999999998,1.6,0.051,82.31,1254.0,584.24,6.15,0.345,0.292,0.0,0.0,6036.0,4.3260000000000005,-0.18,1.131,0.987,4.113,13.353,16.7,5,275,0.004,-0.004,2.22e-05,-2.22e-05,10.3,-10.3,0.11900000000000001,-0.11900000000000001,0.125,-0.563,0.002,-0.001,2.7,-2.7,0.25,-0.23,120.0,-132.0,0.12,-0.12,0.15,-0.15,0.17600000000000002,-0.158,-0.064,0.07200000000000001,259.9,-188.44,0.9910899999999999,-0.20457
K01589.05,CONFIRMED,Kepler-84 f,44.5520266,160.29386,2454993.294,0.6890000000000001,6.0,362.1,0.019,0.73477,2.29,0.245,89.07,572.0,25.3,42.6,0.345,0.292,0.0,0.0,6036.0,4.3260000000000005,-0.18,1.131,0.987,4.599,13.444,16.7,5,28,0.006999999999999999,-0.006999999999999999,0.00045310000000000006,-0.00045310000000000006,22.5,-22.5,0.212,-0.212,0.253,-0.45399999999999996,0.004,-0.001,20.4,-20.4,0.35,-0.32,120.0,-132.0,0.12,-0.12,0.15,-0.15,0.17600000000000002,-0.158,-0.064,0.07200000000000001,11.25,-8.16,1.05406,-0.67124
K01755.01,FALSE POSITIVE,,6.14631207,132.74983,2454965.75,0.937,3.803,891.1,0.034,0.08171,4.79,0.073,80.12,1260.0,594.72,5.46,0.276,0.327,0.0,0.0,6726.0,4.335,0.07,1.31,1.354,11.064,43.593,20.3,1,217,0.005,-0.005,3.701e-05,-3.701e-05,49.9,-49.9,0.147,-0.147,0.018000000000000002,-0.6559999999999999,0.000875,-0.006,2.7,-2.7,1.43,-0.61,187.0,-258.0,0.062,-0.188,0.2,-0.4,0.391,-0.168,-0.22,0.16,524.24,-208.22,1.48005,-0.0533
K02746.01,FALSE POSITIVE,,69.2002312,145.95158999999998,2454978.952,1.276,5.678999999999999,2271.5,0.327,0.15513,45.24,0.358,87.85,585.0,27.66,34.0,0.257,0.32299999999999995,0.0,0.0,7044.0,4.337,-0.22,1.2670000000000001,1.291,10.33,23.548000000000002,30.0,1,21,0.005,-0.005,0.0004037,-0.0004037,92.3,-92.3,0.258,-0.258,6.805,-0.284,6.845,-0.27699999999999997,16.7,-16.7,13.03,-5.57,219.0,-329.0,0.06,-0.18,0.3,-0.35,0.365,-0.156,-0.187,0.187,24.21,-10.1,1.52732,-0.02532
K03275.01,FALSE POSITIVE,,37.32483952,143.0389,2454976.039,1.263,6.9676,4989.2,0.35100000000000003,0.10363,30.32,0.204,86.32,461.0,10.67,19.69,0.49,0.207,0.0,0.0,5306.0,4.55,-0.16,0.79,0.81,51.744,192.705,155.6,1,38,0.001,-0.001,4.984e-05,-4.984e-05,37.8,-37.8,0.055999999999999994,-0.055999999999999994,42.08,-0.083,42.021,-0.077,9.8,-9.8,4.68,-2.73,175.0,-159.0,0.055999999999999994,-0.098,0.3,-0.3,0.122,-0.071,-0.071,0.094,5.52,-2.84,14.68769,-0.00672
K00553.01,FALSE POSITIVE,,2.399069173,171.45413,2455004.454,0.649,3.2576,286.6,0.016,0.29394000000000003,1.78,0.034,81.66,1354.0,792.76,4.47,0.40399999999999997,0.262,0.0,0.0,5654.0,4.395,-0.04,1.001,0.9079999999999999,4.1739999999999995,32.515,37.8,1,557,0.003,-0.003,8.78e-06,-8.78e-06,8.9,-8.9,0.094,-0.094,0.302,-0.413,0.004,-0.0008529999999999999,2.1,-2.1,0.5,-0.27,169.0,-169.0,0.128,-0.192,0.3,-0.3,0.28,-0.151,-0.085,0.114,667.85,-286.48,0.27795,-0.26603000000000004
K03982.01,FALSE POSITIVE,,2.3990816059999998,133.06425,2454966.0640000002,1.276,4.3839999999999995,6071.6,0.37200000000000005,0.05026,40.6,0.035,59.07,1360.0,810.78,2.48,0.40399999999999997,0.262,0.0,0.0,5780.0,4.438,0.0,1.0,1.0,5.699,31.572,89.9,1,260,0.004,-0.004,7.453e-06,-7.453e-06,79.5,-79.5,0.059000000000000004,-0.059000000000000004,6.82,-0.076,5.7860000000000005,-0.07,1.2,-1.2,0.0,0.0,,,,,0.0,0.0,,,,,0.0,0.0,1.76213,-0.00116
K08100.01,FALSE POSITIVE,,322.50741,350.3646,2455183.365,0.912,20.688000000000002,349.5,0.021,0.029419999999999998,2.11,0.898,89.04,257.0,1.03,54.5,0.39299999999999996,0.268,0.0,0.0,5708.0,4.465,-0.08,0.9329999999999999,0.9259999999999999,7.555,9.132,13.7,1,3,0.040999999999999995,-0.040999999999999995,0.02,-0.02,28.4,-28.4,0.992,-0.992,0.004,-0.64,0.000366,-0.004,26.8,-26.8,0.58,-0.25,152.0,-169.0,0.078,-0.182,0.3,-0.3,0.254,-0.109,-0.094,0.115,0.82,-0.32,0.34668000000000004,-0.0165
K03239.01,FALSE POSITIVE,,1.070982122,131.98355,2454964.984,0.563,1.255,43.4,0.006,2.72333,0.98,0.02,84.11,2122.0,4811.39,5.49,0.387,0.271,0.0,0.0,5717.0,4.109,-0.06,1.433,0.9640000000000001,3.5,14.390999999999998,9.0,1,1248,0.005,-0.005,7.325e-06,-7.325e-06,6.8,-6.8,0.20199999999999999,-0.20199999999999999,0.4,-0.36200000000000004,0.000482,-0.000648,2.4,-2.4,0.23,-0.32,156.0,-138.0,0.35,-0.15,0.3,-0.25,0.344,-0.473,-0.102,0.125,3428.47,-2853.12,4.83807,-2.59839
K07725.01,FALSE POSITIVE,,322.48381,189.1585,2455022.1580000003,0.938,22.99,1023.4,0.036000000000000004,0.019190000000000002,3.5,0.9109999999999999,88.86,259.0,1.06,47.3,0.33399999999999996,0.29600000000000004,0.0,0.0,5968.0,4.534,-0.26,0.8809999999999999,0.97,9.802,13.72,27.0,1,4,0.022000000000000002,-0.022000000000000002,0.013000000000000001,-0.013000000000000001,44.2,-44.2,1.7,-1.7,0.023,-0.608,0.00047000000000000004,-0.006999999999999999,23.3,-23.3,1.07,-0.36,161.0,-179.0,0.039,-0.221,0.3,-0.3,0.271,-0.09,-0.13,0.11800000000000001,0.96,-0.3,0.35086999999999996,-0.01034
K03820.01,FALSE POSITIVE,,161.252567,189.10238,2455022.102,0.8690000000000001,23.625999999999998,2911.5,0.057,0.02249,5.04,0.56,88.41,318.0,2.41,31.38,0.324,0.298,0.0,0.0,5985.0,4.574,-0.5,0.8109999999999999,0.91,57.705,82.23200000000001,94.7,1,7,0.006,-0.006,0.001,-0.001,36.2,-36.2,0.35700000000000004,-0.35700000000000004,0.01,-0.015,0.0005099999999999999,-0.000869,4.5,-4.5,1.38,-0.36,161.0,-179.0,0.033,-0.187,0.3,-0.3,0.222,-0.059000000000000004,-0.10800000000000001,0.08900000000000001,1.94,-0.58,0.00323,-0.00245
K03843.01,FALSE POSITIVE,,161.253747,189.0939,2455022.094,0.912,25.322,2598.4,0.057,0.0128,4.98,0.556,87.99,295.0,1.8,26.01,0.434,0.243,0.0,0.0,5570.0,4.573,-0.2,0.8029999999999999,0.88,16.515,32.589,54.7,1,6,0.018000000000000002,-0.018000000000000002,0.003,-0.003,58.7,-58.7,0.755,-0.755,0.008,-0.016,0.000605,-0.002,5.2,-5.2,1.25,-0.41,182.0,-182.0,0.04,-0.16,0.3,-0.3,0.201,-0.067,-0.092,0.092,1.4,-0.48,0.0025800000000000003,-0.00249
K03806.01,FALSE POSITIVE,,161.252247,189.10948,2455022.109,0.892,23.467,2185.9,0.051,0.01806,4.49,0.53,88.25,303.0,2.0,29.17,0.39799999999999996,0.267,0.0,0.0,5555.0,4.502,-0.46,0.8109999999999999,0.762,35.168,65.523,84.1,1,7,0.008,-0.008,0.002,-0.002,31.1,-31.1,0.446,-0.446,0.006999999999999999,-0.017,0.000603,-0.0008730000000000001,4.7,-4.7,0.82,-0.55,166.0,-166.0,0.10400000000000001,-0.127,0.3,-0.3,0.14800000000000002,-0.099,-0.055999999999999994,0.10400000000000001,1.14,-0.64,0.00292,-0.00249
K04158.01,FALSE POSITIVE,,0.842336445,131.73901,2454964.739,0.266,1.5190000000000001,80.1,0.008,1.9295799999999999,0.9,0.017,86.34,1941.0,3367.24,4.17,0.39299999999999996,0.268,0.0,0.0,5765.0,4.415,-0.06,0.998,0.943,6.439,11.995999999999999,8.8,1,1589,0.006999999999999999,-0.006999999999999999,7.173e-06,-7.173e-06,11.9,-11.9,0.276,-0.276,0.19899999999999998,-0.266,0.0005650000000000001,-0.00086,1.8,-1.8,0.24,-0.14,156.0,-173.0,0.10099999999999999,-0.188,0.3,-0.3,0.27399999999999997,-0.147,-0.09300000000000001,0.124,2719.29,-1199.82,0.83265,-1.8759
K01991.01,FALSE POSITIVE,,27.36432337,143.46464,2454976.465,1.273,3.545,2282.5,0.327,0.27362,39.49,0.18899999999999997,86.7,659.0,44.5,22.1,0.33399999999999996,0.302,0.0,0.0,6167.0,4.428,0.21,1.107,1.2,9.712,40.306,42.3,1,41,0.003,-0.003,8.439e-05,-8.439e-05,64.7,-64.7,0.102,-0.102,69.31,-3.745,69.293,-3.7289999999999996,11.1,-11.1,12.52,-4.17,194.0,-259.0,0.052000000000000005,-0.20800000000000002,0.2,-0.35,0.35100000000000003,-0.11699999999999999,-0.17,0.139,42.88,-14.52,117.67107,-0.9309700000000001
K06561.01,FALSE POSITIVE,,2.025580416,131.864175,2454964.864,0.434,4.4844800000000005,44998.1,0.19899999999999998,0.28097,43.23,0.035,83.67,2102.0,4618.62,3.935,0.324,0.305,0.0,0.0,6348.0,3.9960000000000004,0.12,1.99,1.431,320.10200000000003,3670.6820000000002,987.8,1,665,0.00011100000000000001,-0.00011100000000000001,2.7100000000000003e-07,-2.7100000000000003e-07,56.0,-56.0,0.008,-0.008,0.026000000000000002,-0.015,0.00055,-0.000733,0.084,-0.084,12.56,-15.36,170.0,-208.0,0.306,-0.165,0.25,-0.3,0.578,-0.7070000000000001,-0.327,0.201,3930.19,-2938.33,0.00599,-0.01174
K02804.01,FALSE POSITIVE,,2.62838097,131.62343,2454964.623,0.087,3.193,89.9,0.009000000000000001,0.69966,1.01,0.038,89.21,1375.0,846.09,6.346,0.373,0.28300000000000003,0.0,0.0,5884.0,4.408,0.16,1.07,1.07,4.143,13.935,15.3,1,517,0.006,-0.006,1.773e-05,-1.773e-05,6.8,-6.8,0.18100000000000002,-0.18100000000000002,0.37,-0.087,0.00048499999999999997,-0.000349,0.627,-0.627,0.29,-0.14,156.0,-191.0,0.084,-0.196,0.2,-0.3,0.307,-0.141,-0.136,0.122,709.78,-287.16,0.06918000000000002,-0.3226
K02558.01,FALSE POSITIVE,,1.8672811459999998,132.07744,2454965.077,1.252,7.495,701.1,0.27899999999999997,0.0135,31.18,0.031,22.51,1561.0,1405.94,1.355,0.359,0.287,0.0,0.0,6117.0,4.457,-0.02,1.025,1.095,5.22,22.614,58.5,1,611,0.004,-0.004,8.228e-06,-8.228e-06,14.4,-14.4,0.16899999999999998,-0.16899999999999998,0.5820000000000001,-0.163,0.545,-0.171,0.524,-0.524,9.19,-3.95,193.0,-236.0,0.052000000000000005,-0.20800000000000002,0.25,-0.3,0.302,-0.13,-0.151,0.135,1262.3,-490.11,0.020880000000000003,-0.00491
K03228.01,FALSE POSITIVE,,0.98762513,131.97212,2454964.972,0.547,1.127,28.6,0.005,3.57429,1.14,0.025,84.48,3728.0,45704.5,5.69,0.21,0.29100000000000004,0.0,0.0,9456.0,4.172,0.07,2.022,2.213,4.331,9.096,14.8,1,1351,0.003,-0.003,3.85e-06,-3.85e-06,2.3,-2.3,0.10099999999999999,-0.10099999999999999,0.415,-0.353,7.6e-05,-0.00041,1.7,-1.7,0.42,-0.28,301.0,-451.0,0.136,-0.204,0.2,-0.75,0.745,-0.49700000000000005,-0.565,0.424,51313.06,-24322.84,2.1742,-1.1305
K04750.01,CANDIDATE,,36.721576,151.2481,2454984.248,0.09699999999999999,7.757999999999999,538.2,0.021,0.6967800000000001,1.93,0.21100000000000002,89.85,498.0,14.51,36.8,0.39299999999999996,0.268,0.0,0.0,5662.0,4.56,-0.12,0.84,0.937,3.068,8.219,10.2,1,31,0.023,-0.023,0.001,-0.001,63.2,-63.2,0.5760000000000001,-0.5760000000000001,0.355,-0.09699999999999999,0.002,-0.001,18.0,-18.0,0.51,-0.16,186.0,-186.0,0.031,-0.17800000000000002,0.3,-0.3,0.221,-0.069,-0.115,0.094,11.83,-3.82,0.34093,-0.29481
K02724.01,FALSE POSITIVE,,0.620739667,132.10051,2454965.101,1.158,2.477,108.2,0.16699999999999998,0.08373999999999998,29.28,0.015,14.24,2947.0,17924.29,1.195,0.293,0.31,0.0,0.0,6559.0,4.133,-0.18,1.6019999999999999,1.2770000000000001,3.812,21.807,30.8,1,2156,0.002,-0.002,1.788e-06,-1.788e-06,4.2,-4.2,0.11599999999999999,-0.11599999999999999,0.522,-0.084,0.518,-0.08199999999999999,0.519,-0.519,8.35,-8.35,155.0,-214.0,0.214,-0.175,0.25,-0.3,0.457,-0.457,-0.214,0.172,14584.77,-9905.59,0.1456,-0.022619999999999998
K03887.01,FALSE POSITIVE,,1.2414832759999999,132.10028,2454965.1,1.227,2.195,141.0,0.237,0.034319999999999996,27.25,0.023,29.46,1847.0,2761.35,1.409,0.315,0.303,0.0,0.0,6140.0,4.394,-0.2,1.053,1.001,4.396,20.815,32.0,1,1079,0.002,-0.002,2.8089999999999997e-06,-2.8089999999999997e-06,5.4,-5.4,0.10400000000000001,-0.10400000000000001,3.02,-0.15,3.0180000000000002,-0.147,0.695,-0.695,8.59,-3.68,170.0,-191.0,0.10099999999999999,-0.203,0.25,-0.3,0.332,-0.142,-0.111,0.166,2567.19,-939.96,0.7955800000000001,-0.0083
K04409.01,CANDIDATE,,14.265154500000001,143.22024,2454976.22,0.353,3.6010000000000004,66.3,0.006999999999999999,2.16725,1.06,0.11699999999999999,89.29,853.0,125.45,28.57,0.405,0.264,0.0,0.0,5825.0,4.237,0.14,1.291,1.0490000000000002,3.383,11.675,13.9,1,95,0.005,-0.005,0.0001062,-0.0001062,5.5,-5.5,0.16399999999999998,-0.16399999999999998,0.095,-0.353,0.00032599999999999996,-0.00043200000000000004,8.2,-8.2,0.18,-0.18,105.0,-117.0,0.156,-0.10400000000000001,0.15,-0.15,0.22,-0.22,-0.071,0.098,59.13,-45.84,0.6218600000000001,-0.71719
K01562.01,FALSE POSITIVE,,0.784512952,355.57263,2455188.5730000003,1.234,2.4623,586.0,0.258,0.08089,25.48,0.017,26.69,1952.0,3432.93,1.381,0.345,0.292,0.0,0.0,5997.0,4.522,-0.22,0.904,0.991,4.041,15.366,44.4,2,1441,0.001,-0.001,1.6140000000000001e-06,-1.6140000000000001e-06,15.8,-15.8,0.076,-0.076,1.001,-0.174,1.0979999999999999,-0.067,0.675,-0.675,7.44,-2.48,189.0,-231.0,0.05,-0.2,0.3,-0.3,0.264,-0.08800000000000001,-0.131,0.11800000000000001,3055.16,-1042.53,0.31629,-0.02252
K01562.02,CANDIDATE,,20.0679247,150.7703,2454983.77,0.8490000000000001,5.236000000000001,482.2,0.023,0.22014,2.25,0.14400000000000002,87.09,662.0,45.49,16.73,0.345,0.292,0.0,0.0,5997.0,4.522,-0.22,0.904,0.991,3.1839999999999997,8.238,13.8,2,56,0.011000000000000001,-0.011000000000000001,0.0002764,-0.0002764,35.3,-35.3,0.228,-0.228,0.10400000000000001,-0.628,0.000598,-0.003,7.7,-7.7,0.66,-0.21,189.0,-231.0,0.05,-0.2,0.3,-0.3,0.264,-0.08800000000000001,-0.131,0.11800000000000001,40.49,-13.81,1.11815,-0.18587
K02718.01,FALSE POSITIVE,,0.784513087,131.98751000000001,2454964.988,0.028999999999999998,1.9206,316.6,0.015,1.0278,131.4,0.02,89.48,10634.0,3036857.56,3.222,0.867,-0.057999999999999996,0.0,0.0,3853.0,0.892,-0.22,78.869,1.7719999999999998,4.485,19.133,47.7,1,1661,0.001,-0.001,1.3419999999999998e-06,-1.3419999999999998e-06,8.1,-8.1,0.052000000000000005,-0.052000000000000005,0.33,-0.028999999999999998,0.000543,-0.000279,0.063,-0.063,3.35,-26.79,76.0,-105.0,0.03,-0.03,0.2,-0.25,2.01,-16.083,-0.6579999999999999,0.077,416291.93,-1313641.72,0.01996,-0.29252
K05152.01,FALSE POSITIVE,,0.944598153,132.2327,2454965.233,1.012,4.018,200.9,0.037000000000000005,0.02825,37.61,0.024,23.14,4190.0,72795.2,1.1,0.556,0.17,0.0,0.0,4877.0,2.839,0.14,9.214,2.138,4.58,16.712,35.3,1,1329,0.003,-0.003,3.1960000000000004e-06,-3.1960000000000004e-06,7.0,-7.0,0.14800000000000002,-0.14800000000000002,0.359,-0.024,0.345,-0.016,0.413,-0.413,5.23,-8.49,66.0,-124.0,0.03,-0.03,0.1,-0.2,1.28,-2.08,-0.8420000000000001,0.45299999999999996,26846.21,-33428.16,0.03177,-0.00116
K06563.01,FALSE POSITIVE,,20.28281916,137.05176,2454970.0519999997,0.7190000000000001,36.048,2797.5,0.052000000000000005,0.00182,22.46,0.15,77.83,1141.0,401.55,3.408,0.53,0.182,0.0,0.0,5043.0,3.284,-0.3,3.9560000000000004,1.0979999999999999,7.565,18.772000000000002,306.7,1,50,0.002,-0.002,6.797e-05,-6.797e-05,10.4,-10.4,0.175,-0.175,0.015,-0.018000000000000002,0.000283,-0.00045599999999999997,0.225,-0.225,4.57,-4.57,65.0,-65.0,0.154,-0.126,0.15,-0.1,0.805,-0.805,-0.147,0.221,210.61,-159.68,0.00011999999999999999,-0.00013000000000000002
K00643.01,FALSE POSITIVE,,1.376384817,169.72919,2455002.7290000003,0.5579999999999999,1.745,365.9,0.018000000000000002,1.39036,1.47,0.022000000000000002,83.82,1343.0,770.3099999999998,5.18,0.47700000000000004,0.217,0.0,0.0,5278.0,4.591,-0.26,0.746,0.7909999999999999,3.793,33.137,47.8,1,948,0.001,-0.001,2.1790000000000002e-06,-2.1790000000000002e-06,9.7,-9.7,0.05,-0.05,0.418,-0.32299999999999995,0.006,-0.000686,2.2,-2.2,0.24,-0.12,185.0,-185.0,0.045,-0.091,0.3,-0.3,0.121,-0.06,-0.078,0.086,423.88,-205.56,1.1871399999999999,-0.03046
K06564.01,FALSE POSITIVE,,4.9313659869999995,133.153013,2454966.153,0.6859999999999999,14.7088,255953.0,0.565,0.041319999999999996,139.59,0.062,79.49,1755.0,2239.55,3.759,0.292,0.302,0.0,0.0,6562.0,3.835,-0.4,2.263,1.2790000000000001,483.56300000000005,2593.268,772.7,1,277,0.00044800000000000005,-0.00044800000000000005,2.637e-06,-2.637e-06,391.0,-391.0,0.027999999999999997,-0.027999999999999997,0.013999999999999999,-0.012,0.008,-0.006999999999999999,0.033,-0.033,28.56,-66.62,210.0,-257.0,0.47200000000000003,-0.11800000000000001,0.3,-0.3,0.46299999999999997,-1.08,-0.259,0.188,1446.54,-1717.93,0.00036,-0.00036
K02440.01,CONFIRMED,Kepler-1240 b,4.86638504,134.01501000000002,2454967.015,0.17600000000000002,2.296,143.8,0.011000000000000001,3.35225,1.32,0.055999999999999994,89.38,1121.0,372.7,16.13,0.41,0.26,0.0,0.0,5688.0,4.333,0.1,1.111,0.9690000000000001,3.525,14.634,17.1,1,214,0.004,-0.004,2.421e-05,-2.421e-05,9.9,-9.9,0.138,-0.138,0.289,-0.17600000000000002,0.000523,-0.000546,3.0,-3.0,0.2,-0.18,77.0,-77.0,0.132,-0.10800000000000001,0.15,-0.15,0.16899999999999998,-0.154,-0.05,0.071,149.35,-110.83,0.61764,-1.4549
K00503.01,CONFIRMED,Kepler-580 b,8.22241355,172.95657,2455005.957,0.24600000000000002,2.71,1468.6,0.034,3.5322699999999996,2.28,0.068,89.39,558.0,22.86,23.28,0.6659999999999999,0.085,0.0,0.0,4213.0,4.658,-0.1,0.615,0.626,9.725,61.257,67.0,1,126,0.001,-0.001,1.052e-05,-1.052e-05,25.2,-25.2,0.040999999999999995,-0.040999999999999995,0.21,-0.24600000000000002,0.001,-0.0008439999999999999,3.0,-3.0,0.09,-0.11,84.0,-84.0,0.025,-0.02,0.15,-0.15,0.025,-0.031,-0.033,0.028999999999999998,3.93,-3.84,0.46086000000000005,-0.9338299999999999
K04199.01,CONFIRMED,Kepler-1566 b,0.539915033,131.55207,2454964.5519999997,0.29100000000000004,1.1466,97.0,0.009000000000000001,2.85988,0.82,0.012,85.27,1871.0,2901.68,3.532,0.575,0.15,0.0,0.0,5102.0,4.502,0.1,0.8370000000000001,0.8109999999999999,5.755,15.009,17.6,1,1914,0.002,-0.002,1.5080000000000002e-06,-1.5080000000000002e-06,6.3,-6.3,0.073,-0.073,0.183,-0.29100000000000004,0.000362,-0.000513,0.526,-0.526,0.04,-0.06,84.0,-76.0,0.07,-0.035,0.15,-0.15,0.044000000000000004,-0.06,-0.03,0.055999999999999994,530.1,-546.8,0.4261,-1.27862
K02666.01,CANDIDATE,,64.034363,159.0432,2454992.043,0.985,9.174,758.8,0.040999999999999995,0.026430000000000002,3.47,0.293,86.84,411.0,6.72,17.89,0.35600000000000004,0.28600000000000003,0.0,0.0,5691.0,4.561,-0.48,0.7829999999999999,0.8140000000000001,5.476,13.237,16.9,1,17,0.013999999999999999,-0.013999999999999999,0.001,-0.001,53.7,-53.7,0.555,-0.555,67.52,-0.042,67.00399999999999,-0.012,8.9,-8.9,0.8,-0.32,155.0,-155.0,0.05,-0.15,0.3,-0.3,0.18100000000000002,-0.07200000000000001,-0.07,0.096,4.63,-1.76,8.52011,-0.01942
K02297.01,CANDIDATE,,4.64495172,136.02095,2454969.0209999997,0.301,3.366,147.4,0.011000000000000001,0.92945,1.38,0.055,88.31,1209.0,504.23,10.2,0.35100000000000003,0.289,0.0,0.0,6047.0,4.343,-0.08,1.129,1.021,4.01,16.699,19.8,1,224,0.005,-0.005,2.568e-05,-2.568e-05,8.6,-8.6,0.12300000000000001,-0.12300000000000001,0.147,-0.301,0.000446,-0.000413,2.4,-2.4,0.41,-0.22,180.0,-180.0,0.128,-0.192,0.25,-0.3,0.33799999999999997,-0.182,-0.126,0.153,453.09,-189.86,0.22061999999999998,-0.29277
K06565.01,FALSE POSITIVE,,4.331392455,134.7274476,2454967.727,0.306,3.7278,200403.0,0.41600000000000004,1.87841,38.82,0.048,88.57,1051.0,288.51,12.305,0.35600000000000004,0.28600000000000003,0.0,0.0,5655.0,4.4719999999999995,-0.44,0.8540000000000001,0.7879999999999999,2710.722,22089.055,1234.3,1,239,6.88e-05,-6.88e-05,3.7100000000000003e-07,-3.7100000000000003e-07,205.0,-205.0,0.003,-0.003,0.021,-0.008,0.0008730000000000001,-3.8e-05,0.034,-0.034,9.05,-5.59,186.0,-186.0,0.10800000000000001,-0.162,0.3,-0.3,0.19899999999999998,-0.12300000000000001,-0.055999999999999994,0.11199999999999999,210.75,-103.59,0.00517,-0.04576
K06566.01,FALSE POSITIVE,,345.1846728,228.84084500000003,2455061.841,1.179,6.5468,29988.7,0.424,5.26731,44.91,0.935,89.79,257.0,1.03,321.3,0.39299999999999996,0.268,0.0,0.0,5712.0,4.4239999999999995,-0.1,0.971,0.912,349.827,661.258,687.5,1,4,0.00020099999999999998,-0.00020099999999999998,0.00010400000000000001,-0.00010400000000000001,51.2,-51.2,0.012,-0.012,0.2,-0.10400000000000001,0.165,-0.11800000000000001,25.1,-25.1,12.44,-6.71,169.0,-186.0,0.105,-0.18,0.3,-0.3,0.26899999999999996,-0.145,-0.091,0.114,0.85,-0.38,0.41076,-0.20238
K06567.01,FALSE POSITIVE,,9.58405667,138.8710106,2454971.871,0.7979999999999999,6.82752,119630.0,0.401,0.39200999999999997,99.66,0.095,86.31,1212.0,510.85,12.392999999999999,0.44799999999999995,0.23600000000000002,0.0,0.0,5605.0,3.813,-0.04,2.275,1.226,1282.7910000000002,10096.773000000001,2595.9,1,283,6.16e-05,-6.16e-05,7.19e-07,-7.19e-07,69.9,-69.9,0.004,-0.004,0.018000000000000002,-0.005,0.011000000000000001,-0.002,0.059000000000000004,-0.059000000000000004,24.32,-56.73,168.0,-151.0,0.608,-0.152,0.3,-0.25,0.555,-1.295,-0.318,0.136,378.77,-425.87,0.0018800000000000002,-0.00157
