\STAR_ID                              = "Proxima Cen"
\DATA_CATEGORY                        = "Photometric light curve"
\RA                                   = "14h29m42.95s"
\RA_UNITS                             = "sexagesimal"
\DEC                                  = "-62d40m46.1s"
\DEC_UNITS                            = "sexagesimal"
\EQUINOX                              = "J2000.0"
\NUMBER_OF_POINTS                     = "1813"
\TIME_REFERENCE_FRAME                 = "JD"
\MINIMUM_DATE                         = "2457402.84676"
\MAXIMUM_DATE                         = "2457502.91435"
\DATE_UNITS                           = "days"
\REFERENCES                           = "Anglada-Escudé et al. 2016"
\BIBCODES                             = "2016Natur.536..437A"
\TELESCOPE                            = "Astrograph for the South Hemisphere II telescope"
\INSTRUMENT                           = "unknown"
\TIME_SERIES_DATA_FILTER              = "H-alpha"
\OBSERVATORY_SITE                     = "San Pedro de Atacama Celestial Explorations Observatory (SPACEOBS)"
\COLUMN_JD                            = "Julian Day"
\COMMENT                              = "H-alpha is centered on 0.656 micron. Uncertainties of individual points are ~6 mmag."
|               JD| RELATIVE_MAGNITUDE| MAGNITUDE_UNCERTAINTY|      RELATIVE_FLUX| FLUX_UNCERTAINTY|
|           double|             double|                double|             double|           double|
|             days|                mag|                   mag|                   |                 |
  2457420.87049                                                     0.981657524                      
  2457420.87434                                                     0.986279485                      
  2457420.87825                                                     0.990831944                      
  2457420.88222                                                     0.981205558                      
  2457420.8862                                                    0.9724784809                      
  2457420.89004                                                     0.979580203                      
  2457421.79111                                                     0.992841678                      
  2457421.79517                                                     0.996139129                      
  2457421.7991                                                    0.9858253917                      
  2457421.8031                                                    0.9922931652                      
  2457421.807                                                   0.99229316520                      
  2457421.81093                                                     0.991197048                      
  2457421.81482                                                     0.987097381                      
  2457421.81864                                                     0.994489037                      
  2457421.82255                                                     0.976427494                      
  2457421.82648                                                     0.988188965                      
  2457421.83049                                                     0.987733992                      
  2457421.83433                                                     0.992384562                      
  2457421.83822                                                     0.986097822                      
  2457421.84204                                                     1.002859285                      
  2457421.84594                                                     0.993481993                      
  2457421.84995                                                     0.985916193                      
  2457421.85379                                                     0.983105215                      
  2457421.8577                                                    0.9888262797                      
  2457421.8616                                                    0.9875520616                      
  2457421.86559                                                     0.978948848                      
  2457422.79422                                                     0.981386320                      
  2457422.82169                                                     0.992933126                      
  2457422.8256                                                    0.9922931652                      
  2457422.8295                                                    0.9989873756                      
  2457422.83335                                                     0.994672245                      
