KOI Name,Predicted Disposition,Probability,Period (days),T0 (BJD-2454833),Duration (hr),Impact,R_p/R*,Kepler ID
K04500.03,CONFIRMED,0.9073837,14.7510068,141.1622,2.25,0.75,0.019,9100953
K03083.03,CONFIRMED,0.9064542,8.2942929,134.8478,3.9760000000000004,0.006,0.005,7106173
K02851.02,CONFIRMED,0.90581626,1.23935745,131.85254,1.683,0.932,0.013999999999999999,6697605
K02172.02,CONFIRMED,0.9005456000000001,116.583183,246.6275,5.8,0.586,0.027000000000000003,4173026
K01151.05,CONFIRMED,0.8975029,21.7203362,134.7659,4.252,0.311,0.009000000000000001,8280511
K02174.03,CONFIRMED,0.89703965,7.72513619,176.80202,2.042,0.9540000000000001,0.025,8261920
K01681.04,CONFIRMED,0.8947771999999999,21.9139549,148.52143999999996,3.2710000000000004,1.2,0.22699999999999998,5531953
K00928.01,CONFIRMED,0.8935811,2.494170338,170.852848,1.1221,0.095,0.027000000000000003,9140402
K00593.03,CONFIRMED,0.89333177,51.067435499999995,147.60941,4.374,0.48200000000000004,0.023,9958962
K00253.02,CONFIRMED,0.8914610999999999,20.6180348,145.51232,3.267,0.155,0.025,11752906
K00593.04,CONFIRMED,0.89009666,240.192808,168.3047,9.72,0.8140000000000001,0.025,9958962
K01239.02,CONFIRMED,0.8894131,3.17405898,357.05776000000014,2.3156,0.42200000000000004,0.016,6607286
K01889.02,CONFIRMED,0.8891208,9.18189122,132.40505,4.343,0.971,0.024,11074178
K04500.02,CONFIRMED,0.8879923000000001,44.9851885,150.5703,4.164,0.664,0.024,9100953
K02174.02,CONFIRMED,0.88721645,33.13628610000001,169.50676,4.163,0.7909999999999999,0.028999999999999998,8261920
K03022.02,CONFIRMED,0.88570297,5.05368985,135.11296000000002,2.5140000000000002,0.53,0.012,11618601
K00326.02,CONFIRMED,0.8849751,108.54694599999999,151.1275,7.567,0.055,0.024,9880467
K03091.02,CONFIRMED,0.8841369000000001,7.9069765,138.42700000000002,4.6339999999999995,0.038,0.01,12406807
K04657.02,CONFIRMED,0.8814040000000001,10.431484699999999,135.54228999999998,2.09,0.95,0.009000000000000001,6527078
K01083.02,CONFIRMED,0.8793371999999999,4.57797412,135.63058,2.862,0.34299999999999997,0.01,10157458
K01360.03,CONFIRMED,0.87896967,0.764017553,132.2214,1.103,0.442,0.01,7102227
K02420.02,CONFIRMED,0.8763168,5.4675514000000005,133.42478,3.283,0.27,0.008,7107802
K00308.01,CONFIRMED,0.8689041,35.5969684,187.52765,6.691,0.895,0.027999999999999997,6291837
K03052.02,CONFIRMED,0.86653394,15.611223800000001,144.8735,3.873,0.46799999999999997,0.01,8827575
K01627.02,CONFIRMED,0.8664799000000001,5.93919041,353.75537,2.285,0.107,0.019,6543893
K01411.01,CONFIRMED,0.86338603,305.07624689999994,294.06793999999996,6.255,0.695,0.062,9425139
K03309.01,CONFIRMED,0.8622754000000001,71.05457555,134.734589,1.9162,0.061,0.063,5563300
K02172.01,CONFIRMED,0.85970604,10.44087398,137.97113000000002,3.7430000000000003,0.914,0.032,4173026
K04192.02,CONFIRMED,0.85967755,32.0273169,150.635,5.144,0.259,0.012,9828127
K02433.04,CONFIRMED,0.8575654,27.9040511,154.9434,5.346,0.8540000000000001,0.018000000000000002,11968463
K02906.02,CONFIRMED,0.85597885,145.881936,194.6951,11.342,0.325,0.012,6716545
K03340.02,CONFIRMED,0.8533011999999999,13.728137300000002,143.55218,5.303999999999999,0.748,0.01,3529290
K00252.01,CONFIRMED,0.8527259,17.60461401,170.4984,3.716,0.715,0.047,11187837
K00332.02,CONFIRMED,0.85252905,6.86674226,135.3543,4.216,0.405,0.006,10290666
K01602.02,CONFIRMED,0.85197574,3.03359398,133.08355,4.026,0.023,0.009000000000000001,4860678
K01920.02,CONFIRMED,0.8495280999999999,10.1384691,137.7149,4.026,0.207,0.009000000000000001,8218379
K00211.01,CONFIRMED,0.8482554,124.03589939,136.015098,4.8472,0.075,0.08,10656508
K02150.02,CONFIRMED,0.8448975000000001,44.7055876,149.6448,6.2620000000000005,1.692,0.7090000000000001,3229150
K01808.01,CONFIRMED,0.8445591999999998,89.1935737,217.82183999999998,4.0104,0.015,0.027000000000000003,7761918
K04212.02,CONFIRMED,0.84022975,10.0989634,132.3351,6.428,0.529,0.006999999999999999,1724719
K04136.02,CONFIRMED,0.83944404,4.03357434,134.23275,5.886,0.855,0.009000000000000001,7256914
K00732.03,CONFIRMED,0.83896124,5.25449393,132.55624,3.0780000000000003,0.8370000000000001,0.013999999999999999,10265898
K03130.02,CONFIRMED,0.8383620999999999,5.65245733,136.97891,2.062,0.889,0.012,10252275
K01681.03,CONFIRMED,0.8381177,3.53105835,134.3171,1.778,1.213,0.231,5531953
K02715.03,CONFIRMED,0.83705527,5.72084599,134.66576,2.7439999999999998,0.166,0.032,9837661
K00316.03,CONFIRMED,0.8356911,7.305706326,131.77905,1.4228,0.826,0.017,8008067
K01525.02,CONFIRMED,0.8328486999999999,11.806173699999999,138.2641,4.4719999999999995,0.905,0.01,7869917
K05515.01,CONFIRMED,0.83224,6.2634918729999995,134.897906,0.8513,0.048,0.05,8429817
K01336.04,CONFIRMED,0.83166707,4.45814897,134.39743,2.867,0.754,0.013999999999999999,4077526
K00351.07,CONFIRMED,0.8307277,124.92251599999999,129.7295,11.942,0.943,0.026000000000000002,11442793
K00992.02,CONFIRMED,0.82877994,4.57834367,132.2982,3.987,0.23199999999999998,0.011000000000000001,1432789
K03374.02,CONFIRMED,0.82790816,34.10865620000001,158.431,6.405,0.318,0.011000000000000001,6705026
K00160.01,CONFIRMED,0.8276078000000001,13.73808249,134.43787,3.3539999999999996,0.9570000000000001,0.03,6631721
K01499.02,CONFIRMED,0.8270700000000001,0.840594032,131.74104,1.4040000000000001,0.018000000000000002,0.006,7841925
K02433.03,CONFIRMED,0.82673156,56.414831400000004,163.128,8.075,0.9079999999999999,0.024,11968463
K01358.01,CONFIRMED,0.8255061,5.644914153999999,356.73699,2.2599,0.445,0.034,7376983
K00750.02,CONFIRMED,0.82347584,5.04413987,132.51986000000002,1.6230000000000002,0.727,0.013000000000000001,10662202
K01704.01,CONFIRMED,0.82082254,10.418891499999999,137.74971000000002,3.0069,0.856,0.027000000000000003,7386827
K02612.02,CONFIRMED,0.8201923000000001,7.57299816,131.94317,2.645,0.41100000000000003,0.005,9602613
K02298.01,CONFIRMED,0.81640637,16.6671415,141.76551,3.5260000000000002,0.444,0.012,9334893
K02209.02,CONFIRMED,0.81573033,35.502865,150.4186,8.149,0.7829999999999999,0.011000000000000001,8168187
K03437.02,CONFIRMED,0.8137803000000001,34.749603799999996,158.68412,4.548,0.9840000000000001,0.02,4645174
K01480.02,CONFIRMED,0.8134031,7.00447892,137.89902,2.6689999999999996,0.139,0.013000000000000001,7512982
K02593.02,CONFIRMED,0.8106687,9.5539134,135.5281,5.261,0.142,0.005,8212002
K03214.02,CONFIRMED,0.8106239000000001,25.0901574,138.4988,8.273,0.935,0.006999999999999999,7983117
K01861.01,CONFIRMED,0.81007165,17.50441726,135.74731,4.2585,0.006,0.025,3648437
K00353.03,CONFIRMED,0.8081658,11.1619384,133.5538,5.195,0.7390000000000001,0.011000000000000001,11566064
K02250.02,CONFIRMED,0.80617964,0.626281766,131.90594,1.1812,0.5529999999999999,0.02,5942808
K03232.01,CONFIRMED,0.80222034,6.05919881,133.67436999999998,1.365,0.43799999999999994,0.012,9569711
K03184.03,CONFIRMED,0.8021469,4.02018903,134.84386999999998,3.616,0.505,0.004,4735826
K01258.03,CONFIRMED,0.8020427,148.272013,138.00557,4.192,0.883,0.045,8630788
K00415.01,CONFIRMED,0.8018774999999999,166.7876551,245.143036,5.8676,0.040999999999999995,0.062,6289650
K04541.02,CONFIRMED,0.8004679,17.236085,148.4127,4.209,0.04,0.016,5511659
K02120.01,CONFIRMED,0.80005443,8.77425786,132.33386000000002,2.2245,0.917,0.018000000000000002,4857213
K02012.02,CONFIRMED,0.7997068,180.921729,234.3344,8.99,0.025,0.025,9839821
K01985.01,CONFIRMED,0.7992381,5.756245244,133.903421,1.071,0.888,0.027999999999999997,8142942
K00151.01,CONFIRMED,0.796975,13.4471791,132.830555,3.0454,0.963,0.046,2307199
K01871.02,CONFIRMED,0.79612726,32.376183000000005,150.41557,4.4639,0.8959999999999999,0.031,9758089
K00533.02,CONFIRMED,0.7957884,3.52467888,131.63994,2.484,0.976,0.015,10513530
K00984.01,CONFIRMED,0.79542214,4.28746668,262.06245,1.5693,0.374,0.026000000000000002,1161345
K00092.01,CONFIRMED,0.79456353,65.7045275,137.44275,3.3104,0.6629999999999999,0.024,7941200
K01475.03,CONFIRMED,0.7941958,4.72941177,132.93871000000001,2.234,0.23600000000000002,0.019,4770365
K00430.02,CONFIRMED,0.7938272,9.340538,135.12248,2.57,0.07400000000000001,0.013000000000000001,10717241
K00298.02,CONFIRMED,0.79328287,57.3840375,170.72723,4.336,0.9540000000000001,0.019,12785320
K00935.04,CONFIRMED,0.79292935,9.61731426,142.47478999999996,3.8692,0.331,0.013999999999999999,9347899
K01934.01,CONFIRMED,0.7920729000000001,28.78270955,132.3189,3.451,0.002,0.026000000000000002,4242147
K02554.02,CONFIRMED,0.7877354,10.27127527,135.17631,3.029,0.046,0.017,10471621
