\INPUT_FILE = /exodata/ETSS-prep/KELT/doN02/raw/KELT_N02_lc_009468_V01_west_raw.dat
\INPUT_TYPE = "RAW"
\START_DATE = "Fri Oct 27, 07:06:26 2006"               
\STOP_DATE = "Mon Nov 24, 09:34:38 2008"               
\fixlen = T
\NUMRECORDS = 602      
\
\ This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu 
\ Thu Feb 25, 16:58:05 2016
\ Documentation for the KELT Survey dataset can be found at http://exoplanetarchive.ipac.caltech.edu/docs/KELT.html
\
|          TIME|     MAG|MAG_ERR|
|          real|    real|   real|
|             d|     mag|    mag|
|          null|    null|   null|
 2454758.879351 13.47696 0.00734 
 2454758.886418 13.46808 0.00722 
 2454758.891146 13.48687 0.00712 
 2454758.900600 13.48688 0.00702 
 2454758.921705 13.45820 0.00606 
 2454758.923912 13.46846 0.00626 
 2454758.926115 13.46804 0.00665 
 2454758.928322 13.48199 0.00687 
 2454758.930522 13.47797 0.00706 
 2454758.932724 13.47593 0.00717 
 2454758.934932 13.47723 0.00717 
 2454758.937137 13.46765 0.00709 
 2454758.939342 13.47225 0.00690 
 2454758.941543 13.47923 0.00681 
 2454758.943748 13.46800 0.00668 
 2454758.945947 13.47497 0.00661 
 2454758.948150 13.46511 0.00653 
 2454758.950352 13.46699 0.00639 
 2454758.952555 13.47612 0.00617 
 2454758.954760 13.47023 0.00636 
 2454758.959855 13.46280 0.00719 
 2454759.832185 13.47565 0.00633 
 2454759.839255 13.46186 0.00549 
 2454759.846312 13.48330 0.00535 
 2454759.853369 13.48825 0.00587 
 2454759.860426 13.48063 0.00606 
 2454759.867484 13.47572 0.00595 
 2454759.874542 13.46683 0.00580 
 2454759.881601 13.46623 0.00560 
 2454759.886312 13.47320 0.00581 
 2454759.891041 13.47083 0.00567 
 2454759.916829 13.48897 0.00613 
 2454759.919023 13.48108 0.00621 
 2454759.921230 13.47994 0.00620 
 2454759.923419 13.47926 0.00618 
 2454759.925629 13.47962 0.00613 
 2454759.927830 13.48075 0.00601 
 2454759.930021 13.47848 0.00593 
 2454759.932232 13.47232 0.00606 
 2454759.934423 13.46402 0.00635 
 2454759.936633 13.48998 0.00627 
 2454759.938835 13.48166 0.00622 
 2454759.941028 13.47975 0.00620 
 2454759.943238 13.48620 0.00634 
 2454759.945426 13.48194 0.00637 
 2454759.947637 13.48017 0.00639 
 2454759.949841 13.49044 0.00654 
 2454759.952034 13.47731 0.00651 
 2454759.954240 13.47871 0.00641 
 2454759.956432 13.47986 0.00628 
 2454759.958643 13.48286 0.00628 
 2454759.960845 13.47794 0.00617 
 2454759.963038 13.48475 0.00617 
 2454759.965246 13.46977 0.00608 
 2454759.967438 13.47991 0.00614 
 2454759.969649 13.47242 0.00606 
 2454759.971850 13.47870 0.00595 
 2454759.974047 13.48125 0.00595 
 2454759.976255 13.48862 0.00587 
 2454759.978445 13.47652 0.00605 
 2454759.980655 13.47025 0.00644 
 2454759.982856 13.47292 0.00677 
 2454760.828970 13.46898 0.00540 
 2454760.839132 13.47869 0.00629 
 2454760.849290 13.46455 0.00600 
 2454760.859454 13.46859 0.00590 
 2454760.869619 13.46508 0.00605 
 2454760.879783 13.46834 0.00605 
 2454760.912836 13.47715 0.00591 
 2454760.917559 13.47510 0.00566 
 2454760.922284 13.46152 0.00538 
 2454760.927010 13.45336 0.00564 
 2454760.931731 13.47964 0.00616 
 2454760.936452 13.48686 0.00599 
 2454760.941168 13.48630 0.00576 
 2454760.945885 13.49110 0.00531 
 2454760.950601 13.45996 0.00580 
 2454777.788205 13.48060 0.00577 
 2454777.800129 13.48190 0.00535 
 2454777.812060 13.47175 0.00556 
 2454777.823994 13.48765 0.00543 
 2454777.845588 13.47816 0.00563 
 2454777.894135 13.48166 0.00552 
 2454777.903926 13.48084 0.00571 
 2454777.915896 13.48181 0.00565 
 2454777.935102 13.46657 0.00520 
 2454777.944695 13.48021 0.00550 
 2454778.778065 13.47034 0.00675 
 2454778.785702 13.47851 0.00670 
 2454778.793361 13.47484 0.00732 
 2454778.808645 13.48186 0.00641 
 2454778.826093 13.47469 0.00675 
 2454778.840931 13.47084 0.00649 
 2454778.848354 13.47008 0.00636 
 2454778.863188 13.47527 0.00660 
 2454779.776836 13.48281 0.00678 
 2454786.759329 13.46748 0.00748 
 2454786.766112 13.45796 0.00663 
 2454786.772896 13.47676 0.00634 
 2454786.779694 13.46603 0.00652 
 2454786.786478 13.45664 0.00672 
 2454786.793271 13.46664 0.00679 
 2454786.800061 13.46600 0.00689 
 2454786.806870 13.46650 0.00722 
 2454786.811415 13.46535 0.00755 
 2454786.815957 13.46854 0.00775 
 2454786.820506 13.48036 0.00773 
 2454786.825049 13.47349 0.00764 
 2454786.829579 13.46973 0.00747 
 2454786.834127 13.47193 0.00752 
 2454786.838672 13.46668 0.00799 
 2454786.843210 13.46256 0.00736 
 2454786.845312 13.47351 0.00714 
 2454786.847428 13.46505 0.00718 
 2454786.849541 13.46119 0.00712 
 2454786.851651 13.45785 0.00701 
 2454786.853764 13.45571 0.00741 
 2454786.855874 13.47621 0.00741 
 2454786.857990 13.47143 0.00745 
 2454786.860099 13.47178 0.00749 
 2454786.862208 13.46898 0.00758 
 2454786.864316 13.47415 0.00746 
 2454786.866432 13.47227 0.00741 
 2454786.868542 13.47846 0.00741 
 2454786.870655 13.46658 0.00737 
 2454786.872766 13.46052 0.00743 
 2454786.874879 13.45585 0.00745 
 2454786.876989 13.45847 0.00741 
 2454786.879104 13.46352 0.00741 
 2454786.881219 13.46913 0.00746 
 2454786.883335 13.46363 0.00767 
 2454786.885442 13.47822 0.00753 
 2454786.887552 13.47524 0.00772 
 2454786.889662 13.46916 0.00768 
 2454786.891777 13.47603 0.00778 
 2454786.893885 13.47772 0.00776 
 2454786.895990 13.47855 0.00766 
 2454786.898099 13.45985 0.00784 
 2454786.900212 13.47110 0.00788 
 2454786.902326 13.46114 0.00782 
 2454786.904441 13.46362 0.00766 
 2454786.906551 13.47172 0.00760 
 2454786.908661 13.46290 0.00763 
 2454786.910772 13.47246 0.00749 
 2454786.912882 13.47551 0.00748 
 2454786.917097 13.48742 0.00776 
 2454786.919207 13.47178 0.00764 
 2454787.755338 13.48068 0.00558 
 2454787.765136 13.47400 0.00670 
 2454787.774938 13.46301 0.00602 
 2454787.784756 13.47656 0.00622 
 2454787.804375 13.48737 0.00627 
 2454787.808917 13.46714 0.00635 
 2454787.813453 13.47566 0.00603 
 2454787.817993 13.47662 0.00660 
 2454787.822534 13.47530 0.00677 
 2454787.831623 13.46852 0.00672 
 2454787.843094 13.47768 0.00619 
 2454787.847629 13.46636 0.00596 
 2454787.852169 13.45669 0.00621 
 2454787.856716 13.46547 0.00646 
 2454787.861253 13.46182 0.00646 
 2454787.865793 13.46730 0.00635 
 2454787.870330 13.48020 0.00620 
 2454787.874870 13.46500 0.00607 
 2454787.879407 13.46748 0.00652 
 2454787.883956 13.47289 0.00653 
 2454787.888496 13.48701 0.00658 
 2454787.893043 13.47366 0.00651 
 2454787.897576 13.47871 0.00648 
 2454787.902121 13.46773 0.00651 
 2454787.906661 13.46697 0.00669 
 2454787.911205 13.48330 0.00680 
 2454787.915743 13.46214 0.00705 
 2454788.755449 13.47476 0.00568 
 2454788.765250 13.47423 0.00582 
 2454788.775055 13.47490 0.00571 
 2454788.794654 13.47223 0.00568 
 2454788.808996 13.47547 0.00612 
 2454788.813538 13.47192 0.00628 
 2454788.818070 13.47483 0.00610 
 2454788.822608 13.47182 0.00621 
 2454788.827150 13.47228 0.00625 
 2454788.836222 13.48513 0.00589 
 2454788.840762 13.47774 0.00574 
 2454788.845304 13.47503 0.00567 
 2454788.849853 13.46224 0.00584 
 2454788.854385 13.47485 0.00618 
 2454788.858931 13.47239 0.00616 
 2454788.863468 13.47435 0.00604 
 2454788.868010 13.47991 0.00584 
 2454788.872553 13.47133 0.00580 
 2454788.877099 13.46438 0.00576 
 2454788.881637 13.48574 0.00602 
 2454788.886181 13.46579 0.00611 
 2454788.890723 13.48098 0.00608 
 2454788.895264 13.48384 0.00603 
 2454788.899818 13.46537 0.00608 
 2454788.904360 13.48188 0.00609 
 2454788.908895 13.47878 0.00602 
 2454788.913430 13.48014 0.00602 
 2454789.754110 13.47603 0.00481 
 2454789.766079 13.47307 0.00516 
 2454789.778041 13.46366 0.00539 
 2454789.789988 13.46907 0.00533 
 2454789.801956 13.47870 0.00535 
 2454789.809373 13.47867 0.00555 
 2454789.831644 13.47628 0.00595 
 2454789.846950 13.47739 0.00582 
 2454789.854585 13.47411 0.00585 
 2454789.862234 13.47761 0.00623 
 2454789.869881 13.46759 0.00594 
 2454789.877527 13.46963 0.00598 
 2454789.882064 13.48401 0.00587 
 2454789.886602 13.47817 0.00579 
 2454789.891142 13.47375 0.00578 
 2454789.895680 13.46493 0.00594 
 2454789.900219 13.48272 0.00597 
 2454789.904765 13.47136 0.00598 
 2454789.911685 13.46997 0.00585 
 2454790.750743 13.46056 0.00499 
 2454790.762704 13.46327 0.00558 
 2454790.798579 13.46035 0.00563 
 2454790.835882 13.46595 0.00538 
 2454790.858813 13.47879 0.00585 
 2454790.866473 13.47524 0.00569 
 2454790.874105 13.45611 0.00559 
 2454790.878635 13.47907 0.00551 
 2454790.883177 13.48450 0.00533 
 2454790.887715 13.47223 0.00525 
 2454790.892253 13.46470 0.00528 
 2454790.896789 13.48268 0.00576 
 2454790.901313 13.47875 0.00549 
 2454790.908235 13.46378 0.00548 
 2454791.749116 13.46446 0.00503 
 2454791.761086 13.48203 0.00506 
 2454791.773037 13.47377 0.00505 
 2454791.784978 13.47344 0.00513 
 2454791.828055 13.46997 0.00555 
 2454791.847657 13.47053 0.00519 
 2454791.874688 13.47152 0.00548 
 2454791.882096 13.46238 0.00548 
 2454791.889512 13.46236 0.00641 
 2454791.896929 13.46867 0.00574 
 2454791.904346 13.46237 0.00568 
 2454792.757885 13.47352 0.00527 
 2454792.769829 13.48503 0.00416 
 2454792.781785 13.48962 0.00488 
 2454792.875863 13.47951 0.00597 
