\INPUT_FILE = /exodata/ETSS-prep/KELT/doN02/raw/KELT_N02_lc_000021_V01_east_raw.dat
\INPUT_TYPE = "RAW"
\START_DATE = "Thu Oct 26, 04:44:09 2006"               
\STOP_DATE = "Mon Nov 24, 04:44:47 2008"               
\fixlen = T
\NUMRECORDS = 1792     
\
\ This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu 
\ Thu Feb 25, 16:59:26 2016
\ Documentation for the KELT Survey dataset can be found at http://exoplanetarchive.ipac.caltech.edu/docs/KELT.html
\
|          TIME|     MAG|MAG_ERR|
|          real|    real|   real|
|             d|     mag|    mag|
|          null|    null|   null|
 2454058.656328 14.12197 0.00804 
 2454058.661697 14.12687 0.00802 
 2454058.667066 14.11420 0.00785 
 2454058.672429 14.11814 0.00801 
 2454058.674533 14.11567 0.00796 
 2454058.679057 14.11326 0.00783 
 2454058.683579 14.10809 0.00792 
 2454058.688097 14.12397 0.00768 
 2454058.692621 14.12279 0.00784 
 2454058.697147 14.12283 0.00776 
 2454058.701672 14.12109 0.00775 
 2454058.706194 14.11717 0.00755 
 2454058.710713 14.11729 0.00764 
 2454058.715237 14.11436 0.00769 
 2454058.719762 14.11989 0.00769 
 2454058.724285 14.11463 0.00759 
 2454058.728802 14.11917 0.00757 
 2454059.580521 14.11145 0.00894 
 2454059.585045 14.10818 0.00871 
 2454059.589567 14.09625 0.00885 
 2454059.594085 14.12478 0.00911 
 2454059.598608 14.13454 0.00866 
 2454059.603125 14.11743 0.00876 
 2454059.607649 14.10684 0.00849 
 2454059.612171 14.11662 0.00858 
 2454059.616690 14.12481 0.00874 
 2454059.621213 14.13096 0.00839 
 2454059.625736 14.13129 0.00840 
 2454059.630255 14.11774 0.00851 
 2454059.634780 14.12003 0.00824 
 2454059.639301 14.12001 0.00845 
 2454059.643819 14.12503 0.00815 
 2454059.648340 14.11116 0.00840 
 2454059.653704 14.12582 0.00793 
 2454059.659067 14.12771 0.00821 
 2454059.664434 14.10676 0.00801 
 2454059.666537 14.10905 0.00794 
 2454059.671060 14.11502 0.00796 
 2454059.675579 14.11834 0.00802 
 2454059.680103 14.11791 0.00819 
 2454059.684625 14.11649 0.00790 
 2454059.689144 14.14237 0.00762 
 2454059.693667 14.12684 0.00784 
 2454059.698190 14.09932 0.00773 
 2454059.702708 14.11008 0.00779 
 2454059.707232 14.13538 0.00775 
 2454059.711754 14.13047 0.00757 
 2454059.716273 14.11186 0.00776 
 2454059.720797 14.10707 0.00757 
 2454059.725318 14.11893 0.00769 
 2454060.580529 14.10950 0.01028 
 2454060.585051 14.12040 0.00980 
 2454060.589569 14.12285 0.00995 
 2454060.594094 14.10928 0.00982 
 2454060.598617 14.09652 0.00972 
 2454060.603135 14.11784 0.00966 
 2454060.607659 14.12707 0.00931 
 2454060.612185 14.13905 0.00928 
 2454060.616710 14.11396 0.00931 
 2454060.621233 14.12085 0.00903 
 2454060.625750 14.12137 0.00876 
 2454060.630275 14.12958 0.00890 
 2454060.634796 14.11848 0.00857 
 2454060.639314 14.12579 0.00857 
 2454060.643840 14.12768 0.00841 
 2454060.649210 14.12584 0.00839 
 2454060.654581 14.14485 0.00858 
 2454060.659952 14.12621 0.00840 
 2454060.665322 14.09943 0.00819 
 2454060.667427 14.11801 0.00808 
 2454060.671947 14.13039 0.00813 
 2454060.676475 14.11852 0.00789 
 2454060.680994 14.11456 0.00780 
 2454060.685518 14.13153 0.00784 
 2454060.690040 14.11731 0.00783 
 2454060.694558 14.12576 0.00778 
 2454060.699081 14.11773 0.00775 
 2454060.705749 14.13235 0.00787 
 2454060.710272 14.11740 0.00758 
 2454060.714790 14.12222 0.00756 
 2454060.719313 14.12865 0.00758 
 2454060.723837 14.11825 0.00757 
 2454061.580528 14.11526 0.00938 
 2454061.585051 14.12959 0.00962 
 2454061.589570 14.11720 0.00912 
 2454061.594095 14.10361 0.00917 
 2454061.598620 14.12035 0.00883 
 2454061.603145 14.11869 0.00902 
 2454061.607668 14.13276 0.00906 
 2454061.612184 14.10740 0.00852 
 2454061.616709 14.10464 0.00851 
 2454061.621231 14.12458 0.00883 
 2454061.625749 14.12563 0.00875 
 2454061.630274 14.10912 0.00844 
 2454061.634800 14.10695 0.00838 
 2454061.639326 14.11672 0.00857 
 2454061.644689 14.11359 0.00853 
 2454061.650057 14.11321 0.00806 
 2454061.655425 14.12448 0.00826 
 2454061.660795 14.11671 0.00790 
 2454061.662893 14.11212 0.00777 
 2454061.667415 14.12775 0.00816 
 2454061.671937 14.12113 0.00807 
 2454061.676463 14.12401 0.00781 
 2454061.680989 14.12589 0.00777 
 2454061.685514 14.13481 0.00789 
 2454061.690033 14.11707 0.00803 
 2454061.694557 14.11581 0.00766 
 2454061.699080 14.11493 0.00762 
 2454061.703604 14.11675 0.00757 
 2454061.708131 14.11607 0.00756 
 2454061.712655 14.12657 0.00749 
 2454061.717174 14.12360 0.00742 
 2454066.579809 14.09812 0.00774 
 2454066.584334 14.12636 0.00941 
 2454066.588851 14.11262 0.01142 
 2454066.593373 14.11242 0.00987 
 2454066.597899 14.11550 0.00938 
 2454066.602417 14.11410 0.00941 
 2454066.606942 14.12750 0.00939 
 2454066.611464 14.13148 0.00919 
 2454066.615989 14.11322 0.00911 
 2454066.620509 14.12374 0.00904 
 2454066.625032 14.10659 0.00894 
 2454066.629556 14.11708 0.00873 
 2454066.634920 14.12515 0.00924 
 2454066.640289 14.10726 0.00884 
 2454066.645658 14.12127 0.00824 
 2454066.647762 14.10663 0.00826 
 2454066.652278 14.11712 0.00821 
 2454066.656802 14.13276 0.00949 
 2454066.661325 14.12341 0.00818 
 2454066.665849 14.12038 0.01162 
 2454066.670365 14.13392 0.00884 
 2454066.679406 14.12011 0.00991 
 2454066.683931 14.11905 0.00975 
 2454066.688452 14.12298 0.01054 
 2454066.692972 14.11293 0.00857 
 2454066.697497 14.12268 0.00772 
 2454066.702021 14.11793 0.00887 
 2454066.706547 14.13482 0.01769 
 2454077.579764 14.12833 0.00892 
 2454077.584281 14.12983 0.00864 
 2454077.588794 14.11992 0.00846 
 2454077.593309 14.12160 0.00855 
 2454077.597830 14.13329 0.00848 
 2454077.603194 14.10561 0.00930 
 2454077.613925 14.13585 0.00912 
 2454077.619287 14.12290 0.00871 
 2454077.621395 14.11601 0.00917 
 2454077.625912 14.12923 0.00891 
 2454077.630425 14.11177 0.00933 
