\INPUT_FILE = /exodata/ETSS-prep/KELT/doN02/raw/KELT_N02_lc_008346_V01_west_tfa.dat
\INPUT_TYPE = "RAW"
\START_DATE = "Fri Oct 27, 07:06:26 2006"               
\STOP_DATE = "Mon Nov 24, 09:34:38 2008"               
\fixlen = T
\NUMRECORDS = 596      
\
\ This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu 
\ Thu Feb 25, 16:58:15 2016
\ Documentation for the KELT Survey dataset can be found at http://exoplanetarchive.ipac.caltech.edu/docs/KELT.html
\
|          TIME|     MAG|MAG_ERR|
|          real|    real|   real|
|             d|     mag|    mag|
|          null|    null|   null|
 2454759.954240 12.04831 0.00244 
 2454759.956432 12.04548 0.00239 
 2454759.958643 12.04053 0.00240 
 2454759.960845 12.04145 0.00236 
 2454759.963038 12.04217 0.00237 
 2454759.965246 12.04205 0.00232 
 2454759.967438 12.04735 0.00231 
 2454759.969649 12.04197 0.00227 
 2454759.974047 12.04132 0.00225 
 2454759.976255 12.04233 0.00226 
 2454759.978445 12.04304 0.00230 
 2454759.980655 12.04948 0.00239 
 2454759.982856 12.05026 0.00249 
 2454760.828970 12.04308 0.00219 
 2454760.839132 12.03868 0.00245 
 2454760.849290 12.04763 0.00237 
 2454760.859454 12.04190 0.00233 
 2454760.869619 12.04662 0.00236 
 2454760.879783 12.04427 0.00237 
 2454760.912836 12.03873 0.00235 
 2454760.917559 12.03865 0.00226 
 2454760.922284 12.04939 0.00215 
 2454760.927010 12.04696 0.00223 
 2454760.931731 12.04232 0.00240 
 2454760.936452 12.04253 0.00233 
 2454760.941168 12.04125 0.00228 
 2454760.945885 12.03336 0.00213 
 2454760.950601 12.04789 0.00226 
 2454777.788205 12.04543 0.00231 
 2454777.800129 12.04707 0.00217 
 2454777.812060 12.04977 0.00221 
 2454777.823994 12.04218 0.00221 
 2454777.845588 12.04194 0.00229 
 2454777.894135 12.03794 0.00221 
 2454777.903926 12.04336 0.00228 
 2454777.915896 12.03810 0.00226 
 2454777.935102 12.04590 0.00208 
 2454777.944695 12.04335 0.00218 
 2454778.778065 12.04439 0.00257 
 2454778.785702 12.04412 0.00252 
 2454778.793361 12.04446 0.00270 
 2454778.808645 12.04961 0.00241 
 2454778.826093 12.04340 0.00252 
 2454778.840931 12.04874 0.00242 
 2454778.848354 12.04450 0.00241 
 2454778.863188 12.04902 0.00249 
 2454779.776836 12.04673 0.00255 
 2454786.759329 12.04735 0.00270 
 2454786.766112 12.04536 0.00250 
 2454786.772896 12.05284 0.00239 
 2454786.779694 12.04449 0.00243 
 2454786.786478 12.04323 0.00249 
 2454786.793271 12.04213 0.00252 
 2454786.800061 12.04467 0.00255 
 2454786.806870 12.05851 0.00263 
 2454786.811415 12.05136 0.00274 
 2454786.815957 12.04586 0.00280 
 2454786.820506 12.04614 0.00279 
 2454786.825049 12.04635 0.00276 
 2454786.829579 12.04593 0.00270 
 2454786.834127 12.04657 0.00271 
 2454786.838672 12.04684 0.00285 
 2454786.843210 12.04887 0.00267 
 2454786.845312 12.05440 0.00261 
 2454786.847428 12.04586 0.00262 
 2454786.849541 12.04971 0.00261 
 2454786.851651 12.05081 0.00256 
 2454786.853764 12.04087 0.00270 
 2454786.855874 12.04129 0.00269 
 2454786.857990 12.04613 0.00269 
 2454786.860099 12.04865 0.00271 
 2454786.862208 12.03990 0.00274 
 2454786.864316 12.05044 0.00268 
 2454786.866432 12.04755 0.00266 
 2454786.868542 12.05237 0.00265 
 2454786.870655 12.04592 0.00264 
 2454786.872766 12.05419 0.00266 
 2454786.874879 12.05078 0.00267 
 2454786.876989 12.04508 0.00266 
 2454786.879104 12.05676 0.00265 
 2454786.881219 12.05701 0.00266 
 2454786.883335 12.04658 0.00275 
 2454786.885442 12.04982 0.00269 
 2454786.887552 12.04267 0.00276 
 2454786.889662 12.03958 0.00272 
 2454786.891777 12.04350 0.00275 
 2454786.893885 12.04472 0.00273 
 2454786.895990 12.05082 0.00269 
 2454786.898099 12.04331 0.00274 
 2454786.900212 12.05298 0.00274 
 2454786.902326 12.04595 0.00273 
 2454786.904441 12.04733 0.00268 
 2454786.906551 12.04870 0.00267 
 2454786.908661 12.04322 0.00269 
 2454786.910772 12.04391 0.00264 
 2454786.912882 12.04605 0.00263 
 2454786.917097 12.05031 0.00270 
 2454786.919207 12.04408 0.00266 
 2454787.755338 12.05185 0.00223 
 2454787.765136 12.05061 0.00252 
 2454787.774938 12.04609 0.00234 
