Row ID,K2 Name,K2 ID,Alt Name,RA (J2000),RA Error,Dec (J2000),Dec Error,Disc Method,Number of Planets,Planet Radius,Planet Radius err1,Planet Radius err2,Planet Radius Limit Flag,# Planet Radius Measurements,Semi-Major Axis,Semi-Major Axis err1,Semi-Major Axis err2,Semi-Major Axis Flag,# Semi-Major Axis Measurements,Orbital Eccentricity,Orbital Eccentricity err1,Orbital Eccentricity err2,Orbital Eccentricity Limit Flag,# Orbital Eccentricity Measurements,Orbital Inclination,Orbital Inclination err1,Orbital Inclination err2,Orbital Inclination Limit Flag,# Orbital Inclination Measurements,Planet Mass,Planet mass err1,Planet mass err2,Planet mass Limit Flag,# Planet mass Measurements,Planet mass Provenence,Planet Density,Planet Density err1,Planet Density err2,Planet Density Limit Flag,# Planet Density Measurements,Period,Period err1,Period err2,Period Limit Flag,# Period Measurements,Kepler Flag,K2 Flag,Stellar Mass,Stellar Mass err1,Stellar Mass err2,Stellar Mass Limit Flag,# Stellar Mass Measurements,Stellar Radius,Stellar Radius err1,Stellar Radius err2,Stellar Radius Limit Flag,# Stellar radius Measurements,Stellar Distance,Stellar Distance err1,Stellar Distance err2,Stellar  Distance limit Flag,# Stellar Distance Measurements,Stellar Optical mag,Stellar Optical mag err,Stellar Optical mag Limit Flag,Optical Mag Band Name,Stellar Teff,Stellar Teff err1,Stellar Teff err2,Stellar Teff Limit Flag,# Stellar Teff Measurements,# of Planet Notes,Last Update,Gaia gmag,Gaia gmag Err,Gaia gmag Limit Flag,Kepmag,K2 Campaign,Discovery Facility
49,K2-147 b,213715787,K2-147 b,19 35 19.966,0.0,-28 29 52.20,0.0,Transit,1,0.123,0.015,-0.013,0,1,0.016,5.000e-4,-5.000e-4,0,1,,,,0,0,,,,0,0,,,,0,0,,,,,0,0,0.962,2.600e-5,-2.600e-5,0,1,0,1,0.580,0.060,-0.060,0.000,1,0.550,0.060,-0.060,0,1,88.000,13.000,-13.000,0,1,14.019,0.030,0,V (Johnson),3672,70,-70,0,1,0,2018-02-01,,,,13.355,7,K2
50,K2-148 b,220194974,K2-148 b,00 58 04.277,0.0,-00 11 35.36,0.0,Transit,3,0.119,0.017,-0.016,0,1,0.045,0.001,-0.001,0,1,,,,0,0,,,,0,0,,,,0,0,,,,,0,0,4.384,8.000e-4,-8.000e-4,0,1,0,1,0.650,0.060,-0.060,0.000,1,0.630,0.060,-0.060,0,1,121.000,19.000,-19.000,0,1,13.507,0.070,0,V (Johnson),4079,70,-70,0,1,0,2018-02-01,,,,12.975,8,K2
51,K2-148 c,220194974,K2-148 c,00 58 04.277,0.0,-00 11 35.36,0.0,Transit,3,0.154,0.021,-0.019,0,1,0.062,0.002,-0.002,0,1,,,,0,0,,,,0,0,,,,0,0,,,,,0,0,6.923,7.000e-4,-7.000e-4,0,1,0,1,0.650,0.060,-0.060,0.000,1,0.630,0.060,-0.060,0,1,121.000,19.000,-19.000,0,1,13.507,0.070,0,V (Johnson),4079,70,-70,0,1,0,2018-02-01,,,,12.975,8,K2
52,K2-148 d,220194974,K2-148 d,00 58 04.277,0.0,-00 11 35.36,0.0,Transit,3,0.146,0.021,-0.019,0,1,0.077,0.002,-0.002,0,1,,,,0,0,,,,0,0,,,,0,0,,,,,0,0,9.758,0.001,-0.001,0,1,0,1,0.650,0.060,-0.060,0.000,1,0.630,0.060,-0.060,0,1,121.000,19.000,-19.000,0,1,13.507,0.070,0,V (Johnson),4079,70,-70,0,1,0,2018-02-01,,,,12.975,8,K2
53,K2-149 b,220522664,K2-149 b,00 39 17.256,0.0,+07 16 37.56,0.0,Transit,1,0.146,0.018,-0.016,0,1,0.083,0.003,-0.003,0,1,,,,0,0,,,,0,0,,,,0,0,,,,,0,0,11.332,0.001,-0.001,0,1,0,1,0.590,0.060,-0.060,0.000,1,0.570,0.060,-0.060,0,1,118.000,18.000,-18.000,0,1,14.484,0.160,0,V (Johnson),3745,70,-70,0,1,0,2018-02-01,,,,13.787,8,K2
54,K2-150 b,220598331,K2-150 b,01 13 22.602,0.0,+08 59 15.14,0.0,Transit,1,0.178,0.024,-0.019,0,1,0.073,0.003,-0.003,0,1,,,,0,0,,,,0,0,,,,0,0,,,,,0,0,10.594,8.400e-4,-8.400e-4,0,1,0,1,0.460,0.050,-0.050,0.000,1,0.440,0.040,-0.040,0,1,110.000,15.000,-15.000,0,1,15.829,0.061,0,V (Johnson),3499,70,-70,0,1,0,2018-02-01,,,,14.847,8,K2
55,K2-151 b,220621087,K2-151 b,01 17 13.086,0.0,+09 30 04.97,0.0,Transit,1,0.120,0.014,-0.012,0,1,0.036,0.001,-0.001,0,1,,,,0,0,,,,0,0,,,,0,0,,,,,0,0,3.836,2.300e-5,-2.300e-5,0,1,0,1,0.440,0.050,-0.050,0.000,1,0.430,0.040,-0.040,0,1,62.700,8.800,-8.800,0,1,14.140,0.040,0,V (Johnson),3585,70,-70,0,1,0,2018-02-01,,,,13.384,8,K2
56,K2-152 b,201128338,K2-152 b,12 06 31.871,0.0,-05 49 38.68,0.0,Transit,1,0.204,0.022,-0.021,0,2,0.172,0.001,-0.001,0,2,,,,0,0,,,,0,0,0.025,0.009,-0.009,0,1,Mass,,,,0,0,32.648,0.011,-0.015,0,2,0,1,0.630,0.010,-0.010,0.000,2,0.610,0.010,-0.010,0,2,108.700,0.400,-0.400,0,2,13.728,0.020,0,V (Johnson),4044,34,-35,0,2,0,2018-07-12,,,,13.114,10,K2
57,K2-153 b,201598502,K2-153 b,12 15 14.205,0.0,+02 01 15.43,0.0,Transit,1,0.178,0.019,-0.016,0,2,0.061,4.000e-4,-4.000e-4,0,2,,,,0,0,,,,0,0,0.021,0.008,-0.008,0,1,Mass,,,,0,0,7.516,0.002,-0.002,0,2,0,1,0.550,0.010,-0.010,0.000,2,0.530,0.010,-0.010,0,2,143.600,0.900,-0.900,0,2,14.979,0.030,0,V (Johnson),3845,37,-37,0,2,0,2018-07-12,,,,14.331,10,K2
58,K2-154 b,228934525,K2-154 b,12 36 00.363,0.0,-02 40 10.13,0.0,Transit,2,0.178,0.019,-0.010,0,2,0.041,3.000e-4,-3.000e-4,0,2,,,,0,0,,,,0,0,0.021,0.008,-0.008,0,1,Mass,,,,0,0,3.676,3.000e-4,-3.100e-4,0,2,0,1,0.650,0.020,-0.010,0.000,2,0.630,0.010,-0.010,0,2,129.800,0.400,-0.400,0,2,14.033,0.036,0,V (Johnson),4097,40,-45,0,2,0,2018-07-12,,,,13.351,10,K2
59,K2-154 c,228934525,K2-154 c,12 36 00.363,0.0,-02 40 10.13,0.0,Transit,2,0.185,0.016,-0.012,0,2,0.068,5.000e-4,-5.000e-4,0,2,,,,0,0,,,,0,0,0.022,0.008,-0.008,0,1,Mass,,,,0,0,7.955,8.400e-4,-8.500e-4,0,2,0,1,0.650,0.020,-0.010,0.000,2,0.630,0.010,-0.010,0,2,129.800,0.400,-0.400,0,2,14.033,0.036,0,V (Johnson),4097,40,-45,0,2,0,2018-07-12,,,,13.351,10,K2
60,K2-155 b,210897587,K2-155 b,04 21 52.487,0.0,+21 21 12.96,0.0,Transit,3,0.161,0.018,-0.009,0,2,0.056,0.001,-0.001,0,2,,,,0,0,88.300,1.200,-1.900,0,1,0.015,0.002,-9.400e-4,0,1,Mass,,,,0,0,6.342,0.002,-0.002,0,2,0,1,0.650,0.060,-0.030,0.000,2,0.580,0.060,-0.030,0,2,82.000,29.000,-12.000,0,2,12.806,0.050,0,V (Johnson),4258,150,-150,0,2,0,2018-04-26,,,,12.656,13,K2
61,K2-155 c,210897587,K2-155 c,04 21 52.487,0.0,+21 21 12.96,0.0,Transit,3,0.232,0.062,-0.018,0,2,0.095,0.003,-0.003,0,2,,,,0,0,88.960,0.710,-0.880,0,1,0.020,0.005,-0.002,0,1,Mass,,,,0,0,13.850,0.006,-0.006,0,2,0,1,0.650,0.060,-0.030,0.000,2,0.580,0.060,-0.030,0,2,82.000,29.000,-12.000,0,2,12.806,0.050,0,V (Johnson),4258,150,-150,0,2,0,2018-04-26,,,,12.656,13,K2
62,K2-155 d,210897587,K2-155 d,04 21 52.487,0.0,+21 21 12.96,0.0,Transit,3,0.170,0.062,-0.018,0,2,0.194,0.006,-0.006,0,2,,,,0,0,89.610,0.270,-0.480,0,1,0.015,0.005,-0.002,0,1,Mass,,,,0,0,40.718,0.005,-0.005,0,2,0,1,0.650,0.060,-0.030,0.000,2,0.580,0.060,-0.030,0,2,82.000,29.000,-12.000,0,2,12.806,0.050,0,V (Johnson),4258,150,-150,0,2,0,2018-04-26,,,,12.656,13,K2
63,K2-156 b,201110617,K2-156 b,12 10 48.043,0.0,-06 17 39.14,0.0,Transit,1,0.103,0.009,-0.006,0,2,0.015,1.000e-4,-1.000e-4,0,1,,,,0,0,,,,0,1,0.009,0.005,-0.005,0,1,Mass,,,,0,0,0.813,7.000e-5,-8.000e-5,0,2,0,1,0.660,0.020,-0.010,0.000,2,0.660,0.010,-0.010,0,2,150.400,1.000,-1.000,0,1,13.424,0.010,0,V (Johnson),4597,50,-50,0,2,0,2018-07-12,,,,12.947,10,K2
64,K2-157 b,201130233,K2-157 b,12 15 00.322,0.0,-05 46 55.17,0.0,Transit,1,0.094,0.013,-0.009,0,1,,,,,0,,,,,0,76.711,9.693,-18.255,0,1,,,,,0,,,,,,0,0.365,2.900e-5,-2.900e-5,0,1,0,1,0.940,0.020,-0.030,0.000,1,0.880,0.050,-0.030,0,1,,,,,0,12.823,0.020,0,V (Johnson),5456,50,-50,0,1,0,2018-02-15,,,,12.604,10,K2
65,K2-158 b,201132684,K2-158 b,11 59 45.597,0.0,-05 43 18.15,0.0,Transit,2,0.236,0.014,-0.009,0,2,0.089,8.000e-4,-8.000e-4,0,1,,,,0,0,,,,0,1,0.030,0.008,-0.008,0,1,Mass,,,,0,0,10.060,0.001,-0.001,0,2,0,1,0.920,0.030,-0.020,0.000,2,0.950,0.020,-0.020,0,3,198.200,2.100,-2.100,0,2,11.774,0.174,0,V (Johnson),5503,51,-48,0,3,0,2018-07-12,,,,11.678,10,K2
66,K2-159 b,201225286,K2-159 b,12 02 09.815,0.0,-03 34 50.60,0.0,Transit,1,0.202,0.015,-0.010,0,2,0.101,8.000e-4,-9.000e-4,0,1,,,,0,0,,,,0,1,0.025,0.008,-0.008,0,1,Mass,,,,0,0,12.422,0.002,-0.002,0,2,0,1,0.900,0.020,-0.030,0.000,2,0.830,0.010,-0.010,0,2,171.900,1.400,-1.300,0,1,11.994,0.206,0,V (Johnson),5425,44,-44,0,2,0,2018-07-12,,,,11.729,10,K2
67,K2-160 b,201227197,K2-160 b,12 16 13.099,0.0,-03 33 11.10,0.0,Transit,1,0.284,0.019,-0.013,0,1,,,,,0,,,,,0,88.254,1.197,-2.130,0,1,,,,,0,,,,,,0,3.706,7.400e-5,-7.600e-5,0,1,0,1,0.980,0.020,-0.030,0.000,1,0.910,0.040,-0.030,0,1,,,,,0,12.649,0.010,0,V (Johnson),5649,50,-50,0,1,0,2018-02-15,,,,12.486,10,K2
68,K2-161 b,201231064,K2-161 b,12 15 10.521,0.0,-03 29 44.20,0.0,Transit,1,0.546,0.146,-0.070,0,1,,,,,0,,,,,0,87.251,1.991,-5.633,0,1,,,,,0,,,,,,0,9.283,0.002,-0.002,0,1,0,1,0.990,0.080,-0.060,0.000,1,2.570,0.310,-0.250,0,1,,,,,0,12.631,0.020,0,V (Johnson),4972,50,-50,0,1,0,2018-02-15,,,,12.358,10,K2
69,K2-162 b,201390048,K2-162 b,12 24 09.280,0.0,-01 06 40.86,0.0,Transit,1,0.128,0.010,-0.006,0,2,0.080,6.000e-4,-6.000e-4,0,1,,,,0,0,,,,0,1,0.014,0.007,-0.007,0,1,Mass,,,,0,0,9.459,0.001,-0.001,0,2,0,1,0.750,0.020,-0.020,0.000,2,0.690,0.010,-0.010,0,2,125.100,0.600,-0.600,0,1,12.300,0.040,0,V (Johnson),4842,49,-45,0,2,0,2018-07-12,,,,11.961,10,K2
70,K2-163 b,201427874,K2-163 b,12 09 19.043,0.0,-00 32 20.60,0.0,Transit,1,0.220,0.023,-0.011,0,1,,,,,0,,,,,0,88.253,1.280,-2.188,0,1,,,,,0,,,,,,0,6.673,3.160e-4,-3.030e-4,0,1,0,1,0.830,0.020,-0.020,0.000,1,0.760,0.020,-0.010,0,1,,,,,0,13.129,0.020,0,V (Johnson),4937,50,-50,0,1,0,2018-02-15,,,,12.819,10,K2
71,K2-164 b,201460826,K2-164 b,11 27 44.081,0.0,-00 03 46.22,0.0,Transit,1,0.290,0.046,-0.037,0,1,,,,,0,,,,,0,87.890,1.532,-3.662,0,1,,,,,0,,,,,,0,17.355,0.004,-0.004,0,1,0,1,1.180,0.090,-0.060,0.000,1,2.200,0.310,-0.250,0,1,,,,,0,11.235,0.020,0,V (Johnson),5791,50,-50,0,1,0,2018-02-15,,,,11.130,1,K2
72,K2-165 b,201528828,K2-165 b,12 19 36.079,0.0,+00 58 06.23,0.0,Transit,3,0.114,0.013,-0.009,0,1,,,,,0,,,,,0,87.083,2.151,-4.383,0,1,,,,,0,,,,,,0,2.355,2.460e-4,-2.610e-4,0,1,0,1,0.830,0.030,-0.030,0.000,1,0.800,0.050,-0.030,0,1,,,,,0,11.331,0.117,0,V (Johnson),5185,50,-50,0,1,0,2018-02-15,,,,11.415,10,K2
73,K2-165 c,201528828,K2-165 c,12 19 36.079,0.0,+00 58 06.23,0.0,Transit,3,0.139,0.019,-0.010,0,1,,,,,0,,,,,0,87.054,2.053,-4.971,0,1,,,,,0,,,,,,0,4.383,5.140e-4,-5.360e-4,0,1,0,1,0.830,0.030,-0.030,0.000,1,0.800,0.050,-0.030,0,1,,,,,0,11.331,0.117,0,V (Johnson),5185,50,-50,0,1,0,2018-02-15,,,,11.415,10,K2
74,K2-30 b,210957318,K2-30 b,03 29 22.071,0.0,+22 17 57.85,0.0,Transit,1,1.039,0.050,-0.051,0,5,0.048,7.600e-4,-7.600e-4,0,4,0.000,,,0,3,86.920,0.260,-0.240,0,4,0.579,0.028,-0.027,0,3,Mass,0.640,0.098,-0.080,0,3,4.099,1.100e-5,-1.100e-5,0,5,0,1,0.900,0.040,-0.040,0.000,5,0.840,0.030,-0.030,0,5,,,,,0,13.530,0.040,0,V (Johnson),5425,40,-40,0,5,0,2016-04-14,,,,13.171,4,K2
75,K2-95 b,211916756,K2-95 b,08 37 27.059,0.0,+18 58 36.07,0.0,Transit,1,0.310,0.070,-0.047,0,2,0.065,0.004,-0.004,0,1,,,,,1,88.770,0.860,-1.590,0,2,0.035,0.009,-0.009,0,1,Mass,,,,,0,10.134,6.800e-4,-7.700e-4,0,2,0,1,0.360,0.070,-0.070,0.000,2,0.400,0.050,-0.050,0,2,,,,,0,15.498,,0,Kepler-band,3471,124,-124,0,2,2,2016-09-08,,,,15.498,5,K2
76,K2-96 b,220383386,HD 3167 b,00 34 57.524,0.0,+04 22 53.29,0.0,Transit,3,0.152,0.016,-0.013,0,3,0.018,2.300e-4,-2.300e-4,0,1,0.000,,,0,1,83.400,4.600,-7.700,0,3,0.016,0.001,-0.001,0,1,Mass,5.600,2.150,-1.430,0,1,0.960,1.100e-5,-1.200e-5,0,3,0,1,0.860,0.030,-0.030,0.000,3,0.860,0.040,-0.040,0,3,45.800,2.200,-2.200,0,4,8.940,0.020,0,V (Johnson),5261,60,-60,0,3,0,2017-06-08,,,,8.945,8,K2
77,K2-96 c,220383386,HD 3167 c,00 34 57.524,0.0,+04 22 53.29,0.0,Transit,3,0.269,0.037,-0.025,0,3,0.179,0.002,-0.002,0,1,0.267,,,1,1,89.300,0.500,-0.960,0,3,0.031,0.004,-0.004,0,1,Mass,1.970,0.940,-0.590,0,1,29.845,0.001,-0.001,0,3,0,1,0.860,0.030,-0.030,0.000,3,0.860,0.040,-0.040,0,3,45.800,2.200,-2.200,0,4,8.940,0.020,0,V (Johnson),5261,60,-60,0,3,0,2017-06-08,,,,8.945,8,K2
78,K2-99 b,212803289,K2-99 b,13 55 05.698,0.0,-05 26 32.88,0.0,Transit,1,1.290,0.050,-0.050,0,2,0.159,0.006,-0.006,0,1,0.190,0.040,-0.040,0,1,87.700,0.300,-0.300,0,2,0.970,0.090,-0.090,0,1,Mass,,,,,0,18.249,0.001,-0.001,0,2,0,1,1.600,0.140,-0.100,0.000,2,3.100,0.100,-0.100,0,2,,,,,0,11.149,0.099,0,V (Johnson),5990,40,-40,0,2,0,2016-10-06,10.891,,0,11.014,6,K2
79,K2-100 b,211990866,K2-100 b,08 38 24.302,0.0,+20 06 21.83,0.0,Transit,1,0.312,0.018,-0.018,0,1,,,,,0,0.240,0.190,-0.120,0,1,85.100,3.300,-3.100,0,1,,,,,0,,,,,,0,1.674,1.200e-5,-1.300e-5,0,1,0,1,1.180,0.090,-0.090,0.000,1,1.190,0.050,-0.050,0,1,,,,,0,10.651,0.089,0,V (Johnson),6120,90,-90,0,1,1,2016-12-21,,,,10.408,5,K2
80,K2-101 b,211913977,K2-101 b,08 41 22.581,0.0,+18 56 01.95,0.0,Transit,1,0.178,0.009,-0.009,0,2,,,,,0,0.100,0.180,-0.080,0,1,89.400,0.400,-0.500,0,2,,,,,0,,,,,,0,14.677,8.280e-4,-8.040e-4,0,2,0,1,0.800,0.060,-0.060,0.000,2,0.730,0.030,-0.030,0,2,,,,,0,12.957,0.020,0,V (Johnson),4819,45,-45,0,2,1,2016-12-21,,,,12.619,5,K2
81,K2-102 b,211970147,K2-102 b,08 40 13.451,0.0,+19 46 43.72,0.0,Transit,1,0.116,0.009,-0.009,0,1,,,,,0,0.100,0.160,-0.070,0,1,89.000,0.600,-0.600,0,1,,,,,0,,,,,,0,9.916,0.001,-0.001,0,1,0,1,0.770,0.060,-0.060,0.000,1,0.710,0.030,-0.030,0,1,,,,,0,13.200,0.010,0,V (Johnson),4695,50,-50,0,1,1,2016-12-21,,,,12.872,5,K2
82,K2-103 b,211822797,EPIC 211822797 b,08 41 38.489,0.0,+17 38 24.02,0.0,Transit,1,0.177,0.010,-0.010,0,2,0.131,0.004,-0.005,0,1,0.060,0.136,-0.049,0,2,89.730,0.190,-0.220,0,2,,,,0,0,,,,,0,0,21.170,0.002,-0.002,0,2,0,1,0.660,0.070,-0.070,0.000,2,0.570,0.030,-0.030,0,2,,,,,0,15.256,0.010,0,V (Johnson),4148.21,82.409999999999997,-80.209999999999994,0,2,1,2017-10-26,,,,14.568,5,K2
83,K2-104 b,211969807,K2-104 b,08 38 32.820,0.0,+19 46 25.78,0.0,Transit,1,0.175,0.013,-0.013,0,2,0.023,0.001,-0.001,0,1,0.090,0.168,-0.073,0,2,88.000,1.340,-1.480,0,2,,,,0,0,,,,,0,0,1.974,1.100e-4,-1.100e-4,0,2,0,1,0.430,0.060,-0.070,0.000,2,0.490,0.030,-0.030,0,2,,,,,0,15.149,,0,Kepler-band,3546.46,98.709999999999994,-94.560000000000002,0,2,1,2017-10-26,,,,15.149,5,K2
84,K2-107 b,216468514,K2-107 b,18 59 56.492,0.0,-22 17 36.25,0.0,Transit,1,1.440,0.150,-0.150,0,2,0.048,0.005,-0.005,0,1,0.000,,,0,1,81.900,0.700,-0.700,0,2,0.840,0.080,-0.080,0,1,Mass,0.350,0.100,-0.100,0,1,3.314,2.000e-5,-2.000e-5,0,2,0,1,1.300,0.140,-0.140,0.000,2,1.780,0.160,-0.160,0,2,,,,,0,12.920,0.010,0,V (Johnson),6030,120,-120,0,2,1,2017-02-02,,,,12.749,7,K2
85,K2-111 b,210894022,K2-111 b,03 59 33.541,0.0,+21 17 55.27,0.0,Transit,1,0.170,0.018,-0.018,0,2,0.062,0.009,-0.009,0,1,0.000,,,0,1,86.200,1.000,-1.000,0,2,0.027,0.012,-0.012,0,1,Mass,6.600,4.500,-3.200,0,1,5.351,5.500e-4,-5.500e-4,0,2,0,1,0.880,0.020,-0.020,0.000,2,1.230,0.100,-0.100,0,2,,,,,0,11.137,0.040,0,V (Johnson),5730,50,-50,0,2,0,2017-05-10,,,,12.300,4,K2
86,K2-135 b,246389858,GJ 9827 b,23 27 04.834,0.0,-01 17 10.58,0.0,Transit,3,0.145,0.010,-0.010,0,2,0.019,3.000e-4,-3.100e-4,0,2,,,,0,0,85.730,1.200,-0.960,0,2,0.011,0.004,-0.002,0,2,Mass,4.500,1.500,-0.980,0,1,1.209,8.400e-6,-8.100e-6,0,2,0,1,0.610,0.030,-0.030,0.000,2,0.610,0.030,-0.030,0,2,30.320,1.620,-1.620,0,4,10.250,0.138,0,V (Johnson),4269,98,-99,0,2,0,2018-06-21,,,,10.277,12,K2
87,K2-135 c,246389858,GJ 9827 c,23 27 04.834,0.0,-01 17 10.58,0.0,Transit,3,0.113,0.008,-0.008,0,2,0.039,6.200e-4,-6.400e-4,0,2,,,,0,0,88.050,0.640,-0.480,0,2,0.008,0.002,-0.002,0,2,Mass,6.400,2.000,-1.100,0,1,3.648,6.000e-5,-5.800e-5,0,2,0,1,0.610,0.030,-0.030,0.000,2,0.610,0.030,-0.030,0,2,30.320,1.620,-1.620,0,4,10.250,0.138,0,V (Johnson),4269,98,-99,0,2,0,2018-06-21,,,,10.277,12,K2
88,K2-135 d,246389858,GJ 9827 d,23 27 04.834,0.0,-01 17 10.58,0.0,Transit,3,0.185,0.012,-0.012,0,2,0.056,8.900e-4,-9.100e-4,0,2,,,,0,0,87.390,0.200,-0.180,0,2,0.016,0.006,-0.004,0,2,Mass,3.230,1.100,-0.720,0,1,6.201,6.200e-5,-6.100e-5,0,2,0,1,0.610,0.030,-0.030,0.000,2,0.610,0.030,-0.030,0,2,30.320,1.620,-1.620,0,4,10.250,0.138,0,V (Johnson),4269,98,-99,0,2,0,2018-06-21,,,,10.277,12,K2
89,K2-136 b,247589423,K2-136 b,04 29 38.990,0.0,+22 52 57.80,0.0,Transit,3,0.088,0.005,-0.004,0,1,,,,0,0,0.100,0.190,-0.070,0,1,89.300,0.500,-0.700,0,1,,,,0,0,,,,,0,0,7.975,8.330e-4,-7.700e-4,0,1,0,1,0.740,0.020,-0.020,0.000,2,0.660,0.020,-0.020,0,2,,,,,0,10.900,0.100,0,Kepler-band,4499,50,-50,0,2,0,2017-11-09,,,,10.900,13,K2
90,K2-136 c,247589423,K2-136 c,04 29 38.990,0.0,+22 52 57.80,0.0,Transit,3,0.260,0.010,-0.009,0,2,,,,0,1,0.130,0.270,-0.110,0,1,89.600,0.300,-0.300,0,2,,,,0,0,,,,,0,0,17.307,2.520e-4,-2.840e-4,0,2,0,1,0.740,0.020,-0.020,0.000,2,0.660,0.020,-0.020,0,2,,,,,0,10.900,0.100,0,Kepler-band,4499,50,-50,0,2,0,2017-11-09,,,,10.900,13,K2
91,K2-136 d,247589423,K2-136 d,04 29 38.990,0.0,+22 52 57.80,0.0,Transit,3,0.129,0.010,-0.007,0,1,,,,0,0,0.140,0.130,-0.090,0,1,89.400,0.400,-0.200,0,1,,,,0,0,,,,,0,0,25.575,0.002,-0.002,0,1,0,1,0.740,0.020,-0.020,0.000,2,0.660,0.020,-0.020,0,2,,,,,0,10.900,0.100,0,Kepler-band,4499,50,-50,0,2,0,2017-11-09,,,,10.900,13,K2
92,K2-139 b,218916923,K2-139 b,19 16 15.967,0.0,-17 54 38.48,0.0,Transit,1,0.808,0.034,-0.033,0,2,0.179,0.021,-0.027,0,1,0.120,0.120,-0.080,0,1,89.620,0.250,-0.360,0,2,0.387,0.083,-0.075,0,1,Mass,0.910,0.240,-0.200,0,1,28.382,2.600e-4,-2.600e-4,0,2,0,1,0.920,0.030,-0.030,0.000,2,0.860,0.030,-0.030,0,2,152.000,10.000,-10.000,0,1,11.653,0.137,0,V (Johnson),5340,110,-110,0,2,0,2017-12-14,11.373,,0,11.470,7,K2
93,K2-165 d,201528828,K2-165 d,12 19 36.079,0.0,+00 58 06.23,0.0,Transit,3,0.236,0.023,-0.013,0,1,,,,,0,,,,,0,89.002,0.722,-1.166,0,1,,,,,0,,,,,,0,14.101,0.001,-0.001,0,1,0,1,0.830,0.030,-0.030,0.000,1,0.800,0.050,-0.030,0,1,,,,,0,11.331,0.117,0,V (Johnson),5185,50,-50,0,1,0,2018-02-15,,,,11.415,10,K2
94,K2-166 b,201615463,K2-166 b,12 20 45.190,0.0,+02 16 56.77,0.0,Transit,1,0.195,0.018,-0.017,0,2,0.086,0.001,-9.000e-4,0,1,,,,0,0,,,,0,1,0.023,0.008,-0.008,0,1,Mass,,,,0,0,8.527,0.004,-0.004,0,2,0,1,1.160,0.050,-0.030,0.000,2,1.610,0.040,-0.040,0,2,481.000,9.700,-8.900,0,1,12.074,0.010,0,V (Johnson),5960,52,-53,0,2,0,2018-07-12,,,,11.964,10,K2
95,K2-167 b,205904628,K2-167 b,22 26 18.186,0.0,-18 00 40.22,0.0,Transit,1,0.252,0.046,-0.040,0,1,,,,,0,,,,,0,88.604,1.001,-1.970,0,1,,,,,0,,,,,,0,9.977,0.001,-0.001,0,1,0,1,1.020,0.120,-0.090,0.000,1,1.830,0.290,-0.280,0,1,78.120,6.390,-7.640,0,2,8.239,0.015,0,V (Johnson),5908,50,-50,0,1,0,2018-02-15,,,,8.220,3,K2
96,K2-168 b,205950854,K2-168 b,22 12 26.375,0.0,-16 20 30.32,0.0,Transit,1,0.191,0.018,-0.012,0,1,,,,,0,,,,,0,88.948,0.740,-1.350,0,1,,,,,0,,,,,,0,15.854,0.001,-0.001,0,1,0,1,0.910,0.030,-0.030,0.000,1,0.870,0.070,-0.040,0,1,,,,,0,12.291,0.010,0,V (Johnson),5554,50,-50,0,1,0,2018-02-15,,,,12.105,3,K2
97,K2-169 b,206007892,K2-169 b,22 28 10.627,0.0,-14 35 57.77,0.0,Transit,1,0.114,0.010,-0.007,0,1,,,,,0,,,,,0,87.837,1.575,-3.587,0,1,,,,,0,,,,,,0,6.381,7.780e-4,-6.990e-4,0,1,0,1,0.990,0.030,-0.030,0.000,1,0.920,0.050,-0.030,0,1,,,,,0,12.229,0.060,0,V (Johnson),5548,50,-50,0,1,0,2018-02-15,,,,12.023,3,K2
98,K2-170 b,206008091,K2-170 b,22 21 48.171,0.0,-14 35 35.83,0.0,Transit,2,0.127,0.018,-0.012,0,1,,,,,0,,,,,0,87.989,1.423,-3.339,0,1,,,,,0,,,,,,0,7.577,0.002,-0.002,0,1,0,1,0.960,0.030,-0.030,0.000,1,0.980,0.110,-0.070,0,1,,,,,0,12.633,0.031,0,V (Johnson),5748,50,-50,0,1,0,2018-02-15,,,,12.506,3,K2
99,K2-170 c,206008091,K2-170 c,22 21 48.171,0.0,-14 35 35.83,0.0,Transit,2,0.161,0.022,-0.014,0,1,,,,,0,,,,,0,88.668,0.965,-2.262,0,1,,,,,0,,,,,,0,12.400,0.002,-0.002,0,1,0,1,0.960,0.030,-0.030,0.000,1,0.980,0.110,-0.070,0,1,,,,,0,12.633,0.031,0,V (Johnson),5748,50,-50,0,1,0,2018-02-15,,,,12.506,3,K2
100,K2-171 b,206049764,K2-171 b,22 09 21.797,0.0,-13 25 43.91,0.0,Transit,1,0.240,0.036,-0.030,0,1,,,,,0,,,,,0,85.048,3.650,-9.641,0,1,,,,,0,,,,,,0,5.628,0.002,-0.002,0,1,0,1,0.890,0.060,-0.030,0.000,1,1.720,0.220,-0.190,0,1,,,,,0,12.660,0.040,0,V (Johnson),5250,50,-50,0,1,0,2018-02-15,,,,12.445,3,K2
101,K2-172 b,206082454,K2-172 b,22 21 14.011,0.0,-12 33 24.84,0.0,Transit,2,0.149,0.014,-0.008,0,1,,,,,0,,,,,0,88.914,0.780,-1.720,0,1,,,,,0,,,,,,0,14.317,0.001,-0.001,0,1,0,1,0.930,0.030,-0.030,0.000,1,0.870,0.040,-0.030,0,1,,,,,0,12.438,0.031,0,V (Johnson),5569,50,-50,0,1,0,2018-02-15,,,,12.308,3,K2
